quarter_idx,feature,entropy,weight,direction,coefficient_for_direction
13,composite_总市值_证监会算法_x_bm,0.9974838349767156,0.011193544790703072,negative,-2.403999276126172
13,composite_市净率PB_LF_x_bm,0.9981448368701274,0.00825297681039332,negative,-1.737892141875908
13,composite_市净率PB_LF_x_svar,0.9475961640159076,0.23312647615095786,positive,2.3438720489432927
13,composite_净资产收益率_1年_增长率_x_bm,0.9966340829803394,0.014973796461163801,negative,-1.449574076654068
13,composite_市净率PB_LF_x_ntis,0.9475961640159076,0.23312647615095786,negative,-2.726062953869377
13,composite_市净率PB_LF_x_dp,0.9981448368701276,0.008252976810392826,positive,1.545624254618903
13,composite_销售毛利率_TTM_x_dp,0.9783941672050962,0.09611685040216741,negative,-1.4393029970951228
13,composite_流通市值_x_itgr,0.9974931870563208,0.01115194063478355,positive,1.335411721814899
13,composite_经营活动产生的现金流量净额_营业收入_TTM_x_bm,0.9921560125073884,0.03489517759119452,negative,-1.1219399142518451
13,composite_营业外收支净额_利润总额_TTM_x_infl,0.9991560413034063,0.003754479290668163,negative,-1.069765146054088
13,composite_经营活动产生的现金流量净额_营业收入_TTM_x_itgr,0.9921560125073884,0.03489517759119452,positive,1.1629006033026836
13,composite_市净率PB_LF_x_mtr,0.9981448368701274,0.00825297681039332,negative,-2.501788861473812
13,composite_市净率PB_LF_x_tms,0.9475961640159076,0.23312647615095786,positive,1.9572828917566047
13,composite_市盈率PE_TTM_x_svar,0.996880475751564,0.013877680548540489,positive,0.8027091473642385
13,composite_总资产报酬率_TTM_x_m2gr,0.9876360338233197,0.055002993805531454,positive,0.8490907866799233
14,composite_总市值_证监会算法_x_bm,0.997578324319408,0.006920833186146166,negative,-2.711450745395521
14,composite_市净率PB_LF_x_bm,0.9981523870111366,0.005280236899994085,negative,-1.9321382387959645
14,composite_市净率PB_LF_x_svar,0.9981523870111366,0.005280236899994085,positive,3.457073370811765
14,composite_净资产收益率_1年_增长率_x_bm,0.9973080013416854,0.007693380992689261,negative,-1.553206822155334
14,composite_营业外收支净额_利润总额_TTM_x_infl,0.9910253290170389,0.025648438918309435,negative,-1.2304449420124572
14,composite_销售毛利率_TTM_x_dp,0.9905188275765988,0.027095953961682812,negative,-1.1706257268956466
14,composite_市净率PB_LF_x_dp,0.93958998191044,0.17264395117834494,positive,1.334132619701475
14,composite_经营活动产生的现金流量净额_营业收入_TTM_x_bm,0.9914428486597727,0.02445522224505373,negative,-1.1317253112640548
14,composite_市销率PS_TTM_x_ntis,0.9163326251479832,0.23911044286987523,negative,-1.3422194098634337
14,composite_经营活动产生的现金流量净额_营业收入_TTM_x_itgr,0.9914428486597727,0.02445522224505373,positive,1.0993446146539425
14,composite_市销率PS_TTM_x_bm,0.9984017166303316,0.004567685373527074,negative,-1.840207025373598
14,composite_市销率PS_TTM_x_mtr,0.9163326251479831,0.23911044286987557,negative,-1.482420531873807
14,composite_总资产周转率_TTM_x_dp,0.9951262922868254,0.01392842086627776,negative,-0.8708761389330738
14,composite_市盈率PE_TTM_x_itgr,0.9964179702926493,0.010236973625771898,negative,-0.7364686186106962
14,composite_经营活动净收益_利润总额_TTM_x_bm,0.9322668321560109,0.1935725578674042,negative,-0.7283702174616143
15,composite_总市值_证监会算法_x_bm,0.9974147552268966,0.01194628999550366,negative,-2.6247682399182883
15,composite_市净率PB_LF_x_bm,0.9982472989899314,0.008099145875675519,negative,-1.9826645107841157
15,composite_市净率PB_LF_x_svar,0.9982472989899315,0.008099145875675005,positive,3.2080854104291707
15,composite_市净率PB_LF_x_dp,0.9341876183148384,0.3041158056232798,positive,2.448376816212257
15,composite_净资产收益率_1年_增长率_x_bm,0.9967773673355185,0.014891628351563897,negative,-1.4958681672442702
15,composite_营业外收支净额_利润总额_TTM_x_infl,0.999109532436427,0.004114807176754516,negative,-1.1590506354603622
15,composite_营业利润_1年_增长率_x_de,0.9953007477705217,0.02171501533604287,positive,0.9406170097224856
15,composite_销售毛利率_TTM_x_dp,0.9904002162795978,0.044360132321386296,negative,-0.9499888884544372
15,composite_市销率PS_TTM_x_ntis,0.9116294977249938,0.40835578054694144,negative,-1.0623668291309811
15,composite_经营活动产生的现金流量净额_营业收入_TTM_x_bm,0.9912637817893151,0.04036963822329253,negative,-0.8888576732942792
