quarter_idx,split,rankic,n_stocks,selected_feature_count
13,train,-0.028159995566292204,1424,15
14,train,-0.15367735509349476,1424,15
15,train,-0.05880827871038449,1424,15
16,train,0.09524156550433989,1424,15
17,train,0.17970731377004318,1424,15
18,train,-0.0313471799967811,1424,15
19,train,0.10695204265547344,1424,15
20,train,0.028864115034441716,1424,15
21,train,0.011297859615767358,1424,15
22,valid,-0.04411585639561156,1424,15
23,valid,-0.13788084209482923,1424,15
24,valid,0.055264671226562374,1424,15
25,valid,-0.041199145409971154,1424,15
26,test,-0.06043922407336792,1424,15
27,test,-0.05156980905640111,1424,15
28,test,0.16256295383892375,1424,15
29,test,-0.03908744373504308,1424,15
30,test,0.09986089275871629,1424,15
