quarter_idx,window_start,window_end,step,selected_feature,coefficient,train_r2,train_rankic,selection_abs_corr,sse_improvement,valid_rankic_if_available
13,1,12,1,composite_总市值_证监会算法_x_bm,-2.403999276126172,0.013165872899895348,0.16924554094386857,0.11474263767185831,0.01316587289989539,
13,1,12,2,composite_市净率PB_LF_x_bm,-1.7378921418759081,0.020009882291727843,0.14893557102620186,0.08305680117051983,0.0069353189192434194,
13,1,12,3,composite_市净率PB_LF_x_svar,2.3438720489432927,0.031175849741093886,0.20128351126459768,0.10082334753457473,0.011393959232443978,
13,1,12,4,composite_净资产收益率_1年_增长率_x_bm,-1.4495740766540681,0.03596004020095911,0.19261637424483294,0.07025141438181703,0.004938141208171496,
13,1,12,5,composite_市净率PB_LF_x_ntis,-2.7260629538693775,0.04440258222120752,0.20020965100285443,0.06608445846040344,0.008757460657552322,
13,1,12,6,composite_市净率PB_LF_x_dp,1.545624254618903,0.04941517280567742,0.18894044434632631,0.06950728570694514,0.005245504530685351,
13,1,12,7,composite_销售毛利率_TTM_x_dp,-1.4393029970951228,0.0540354094545038,0.2320068099051432,0.06898045512082364,0.00486041489055029,
13,1,12,8,composite_流通市值_x_itgr,1.335411721814899,0.05770928233073447,0.26758488523489293,0.05926264133797176,0.0038837319207816095,
13,1,12,9,composite_经营活动产生的现金流量净额_营业收入_TTM_x_bm,-1.1219399142518451,0.06051224614170558,0.26634706336278696,0.053921869224155455,0.002974627424861173,
13,1,12,10,composite_营业外收支净额_利润总额_TTM_x_infl,-1.069765146054088,0.06310453808845273,0.2735803593326484,0.05237926600377007,0.002759261029322722,
13,1,12,11,composite_经营活动产生的现金流量净额_营业收入_TTM_x_itgr,1.1629006033026836,0.06565365201401341,0.27288144461233366,0.047447199664950084,0.002720809342335519,
13,1,12,12,composite_市净率PB_LF_x_mtr,-2.501788861473812,0.07067427879949106,0.28228984664700385,0.04349735423198253,0.005373410830255573,
13,1,12,13,composite_市净率PB_LF_x_tms,1.9572828917566047,0.07443292981553307,0.28291012329291104,0.04173533740416682,0.0040444926146955065,
13,1,12,14,composite_市盈率PE_TTM_x_svar,0.8027091473642385,0.07585960987257712,0.2852915009857724,0.03870561161275637,0.0015414118576621836,
13,1,12,15,composite_总资产报酬率_TTM_x_m2gr,0.8490907866799233,0.07731789003576939,0.29340133319578104,0.03743064986155574,0.0015779855298730754,
14,2,13,1,composite_总市值_证监会算法_x_bm,-2.7114507453955214,0.01749462721296935,0.18471491540680815,0.13226725676814113,0.01749462721296936,
14,2,13,2,composite_市净率PB_LF_x_bm,-1.9321382387959645,0.026318739526276613,0.15927483370781137,0.09445277846909594,0.008981235683501903,
14,2,13,3,composite_市净率PB_LF_x_svar,3.457073370811765,0.04469984642851543,0.2171765132697238,0.11045974379582313,0.018877950771380703,
14,2,13,4,composite_净资产收益率_1年_增长率_x_bm,-1.5532068221553341,0.05042557285204097,0.21281195504891948,0.07731802530309698,0.005993641267741156,
14,2,13,5,composite_营业外收支净额_利润总额_TTM_x_infl,-1.2304449420124572,0.054025242127048845,0.2334711045796619,0.06154393830408611,0.003790823733342783,
14,2,13,6,composite_销售毛利率_TTM_x_dp,-1.1706257268956466,0.057279400214313325,0.25203263370536194,0.05859090175632629,0.0034400052011763897,
14,2,13,7,composite_市净率PB_LF_x_dp,1.334132619701475,0.06137251982073322,0.2577787895333205,0.06477587787027798,0.004341816236274392,
14,2,13,8,composite_经营活动产生的现金流量净额_营业收入_TTM_x_bm,-1.1317253112640548,0.0643555615509196,0.25976364060359686,0.05577261923753123,0.003178089064275736,
14,2,13,9,composite_市销率PS_TTM_x_ntis,-1.3422194098634335,0.06790674436649868,0.2650178108973633,0.056071667120122355,0.0037954405216853184,
14,2,13,10,composite_经营活动产生的现金流量净额_营业收入_TTM_x_itgr,1.0993446146539423,0.07046403004006074,0.27173741968420434,0.049392963387788584,0.002743594225262297,
14,2,13,11,composite_市销率PS_TTM_x_bm,-1.840207025373598,0.07409581898393158,0.268958351620535,0.0419633538424724,0.003907098876472021,
14,2,13,12,composite_市销率PS_TTM_x_mtr,-1.482420531873807,0.07732580702482528,0.27452029518523474,0.04641900677872773,0.003488469009124883,
14,2,13,13,composite_总资产周转率_TTM_x_dp,-0.8708761389330738,0.07896152189358363,0.2767462100737611,0.04008449314801842,0.0017727978968220402,
14,2,13,14,composite_市盈率PE_TTM_x_itgr,-0.7364686186106962,0.08023563295418734,0.27624587123760874,0.03695417628170425,0.0013833418373824945,
14,2,13,15,composite_经营活动净收益_利润总额_TTM_x_bm,-0.7283702174616143,0.08145581173041205,0.2772395333473102,0.035808190085942763,0.0013266210563731683,
15,3,14,1,composite_总市值_证监会算法_x_bm,-2.6247682399182883,0.016382331309099607,0.1977763840468929,0.12799348151019183,0.0163823313090996,
15,3,14,2,composite_市净率PB_LF_x_bm,-1.9826645107841154,0.025648199614306977,0.1703499105030176,0.09663330644870231,0.009420193028394147,
15,3,14,3,composite_市净率PB_LF_x_svar,3.2080854104291707,0.041950342285446474,0.2191977588570696,0.10557084105723559,0.016731269614000188,
15,3,14,4,composite_市净率PB_LF_x_dp,2.4483768162122566,0.05452710816081929,0.20924989995693635,0.10762169255051915,0.013127467636046128,
15,3,14,5,composite_净资产收益率_1年_增长率_x_bm,-1.4958681672442702,0.0598304618744816,0.20704323186225135,0.07477145691344937,0.005609207582192968,
15,3,14,6,composite_营业外收支净额_利润总额_TTM_x_infl,-1.1590506354603622,0.06302005723440518,0.2180033178243403,0.058201369465482725,0.00339257466933352,
15,3,14,7,composite_营业利润_1年_增长率_x_de,0.9406170097224855,0.06512240354681131,0.22169480591185214,0.04735102583843634,0.0022437474021063924,
15,3,14,8,composite_销售毛利率_TTM_x_dp,-0.9499888884544371,0.06722068362748423,0.23631585641079902,0.0468458006626969,0.0022444436454928125,
15,3,14,9,composite_市销率PS_TTM_x_ntis,-1.0623668291309813,0.06945630896447774,0.23935146895552675,0.04468257338355749,0.002396735538356109,
15,3,14,10,composite_经营活动产生的现金流量净额_营业收入_TTM_x_bm,-0.8888576732942792,0.07128367659670176,0.24333476395955447,0.04370472860181218,0.001963763388896297,
15,3,14,11,composite_经营活动产生的现金流量净额_营业收入_TTM_x_m2gr,-1.3448972419496221,0.07433532922511366,0.25171543985396083,0.04828448056529829,0.003285882407266209,
15,3,14,12,composite_营业利润_1年_增长率_x_mtr,0.8974151545132548,0.07611535759355659,0.2503787986055777,0.042277547909761404,0.0019229732155088555,
15,3,14,13,composite_市销率PS_TTM_x_bm,-1.744614005742208,0.07947192312390183,0.2491290175699831,0.041047811922729674,0.003633100255463108,
15,3,14,14,composite_市盈率PE_TTM_x_itgr,-0.8025658525991338,0.08099042950521795,0.24885226201085117,0.04044087411642989,0.0016496035476389825,
15,3,14,15,composite_净资产收益率_TTM_x_ep,-0.6765812150704504,0.0820612190818516,0.24735022558789374,0.03385534878297112,0.0011651560669353673,
16,4,15,1,composite_总市值_证监会算法_x_bm,-2.607800978012734,0.015881852227824345,0.24555422777443345,0.12602322098654867,0.015881852227824338,
16,4,15,2,composite_市净率PB_LF_x_bm,-2.0011685879514265,0.025115430018978868,0.2100348626988339,0.09624686300565385,0.009382590710330114,
16,4,15,3,composite_市净率PB_LF_x_svar,2.8109583084200795,0.039326102776504834,0.2636901784654129,0.10595159634772709,0.014576774722983535,
16,4,15,4,composite_市净率PB_LF_x_dp,2.4624137994867157,0.051530863355256584,0.2492358840895346,0.10464153485918962,0.012704374100332544,
16,4,15,5,composite_净资产收益率_1年_增长率_x_bm,-1.4612271801562042,0.056500869049621594,0.2425618728788442,0.07226889447066592,0.005240028908000844,
16,4,15,6,composite_营业外收支净额_利润总额_TTM_x_infl,-1.1392939559374629,0.05952751270025458,0.25155501731841573,0.05659507164446179,0.0032078923565984434,
16,4,15,7,composite_市盈率PE_TTM_x_itgr,-1.042973566925147,0.062057035027514695,0.2503000688235927,0.05175067707066788,0.0026896292676490464,
16,4,15,8,composite_营业利润_1年_增长率_x_de,0.9412022173417187,0.06412327150456232,0.253267816930403,0.046906468385024706,0.0022029446930264666,
16,4,15,9,composite_市净率PB_LF_x_ntis,-1.8340399013537323,0.06782780657935994,0.2477559612579056,0.043205543776978106,0.003958357935401614,
16,4,15,10,composite_营业利润_1年_增长率_x_mtr,0.8907879578685128,0.06954427541329333,0.24722737429299246,0.04129879512304908,0.001841364552652745,
16,4,15,11,composite_销售毛利率_TTM_x_de,-0.8385835599222862,0.07115232488008894,0.2577329185986036,0.041136664312397514,0.0017282385655802107,
16,4,15,12,composite_销售毛利率_TTM_x_svar,-0.7772923371185894,0.07253419843233933,0.26467191074446517,0.03817117580267928,0.0014877289239831413,
16,4,15,13,composite_经营活动产生的现金流量净额_营业收入_TTM_x_m2gr,-0.7771307159595379,0.0739227200355832,0.2717267479279074,0.03839135869946091,0.0014971135333474435,
16,4,15,14,composite_经营活动产生的现金流量净额_营业收入_TTM_x_bm,-1.5548192252856015,0.0776120636000236,0.2740622242356833,0.05102340668005708,0.003983839841727054,
16,4,15,15,composite_市销率PS_TTM_x_svar,1.029181038146304,0.0793316687419151,0.27857925814984796,0.03600012595618079,0.0018642970858909163,
