quarter_idx,split,stock_id,stock_name,future_return_1q,stagewise_pred,promethee_net_flow,pure_stagewise_score,pure_promethee_score,hybrid_score_50_50,hybrid_score_30_70,hybrid_score_70_30
13,train,000008.SZ,神州高铁,-18.1852106920231,0.030524835034552,-0.0002525190595268,0.6671348314606742,0.6390449438202247,0.6530898876404494,0.6587078651685393,0.6474719101123595
13,train,000012.SZ,南玻A,-16.4867368976749,-2.620140442713739,-0.0558644475320389,0.1973314606741573,0.17696629213483145,0.18714887640449437,0.1912219101123595,0.1830758426966292
13,train,000016.SZ,深康佳A,-24.865831842576,-3.651150573552257,-0.0598752219366556,0.07162921348314606,0.14957865168539325,0.11060393258426965,0.09501404494382021,0.1261938202247191
13,train,000017.SZ,深中华A,-16.9144981412639,24.416701748607043,0.6133671796250911,1.0,0.9964887640449438,0.9982443820224719,0.9989466292134831,0.9975421348314606
13,train,000020.SZ,深华发A,-12.64,15.425808217759409,0.2415470307988956,0.9943820224719101,0.9768258426966292,0.9856039325842696,0.9891151685393258,0.9820926966292134
13,train,000021.SZ,深科技,-12.2718015446144,-3.0573525482788413,-0.050370829074412,0.1327247191011236,0.22963483146067415,0.18117977528089887,0.16179775280898875,0.20056179775280897
13,train,000030.SZ,富奥股份,-7.20504058437637,-3.612326768075613,-0.0630902258812952,0.07514044943820225,0.12359550561797752,0.09936797752808989,0.08967696629213483,0.10905898876404493
13,train,000039.SZ,中集集团,-10.4060438833934,-3.3746724044516188,-0.0657936171762832,0.09199438202247191,0.10112359550561797,0.09655898876404495,0.09473314606741573,0.09838483146067414
13,train,000045.SZ,深纺织A,-9.38303341902314,-0.5100198368871117,-0.0360165863968664,0.5898876404494382,0.3595505617977528,0.4747191011235955,0.5207865168539325,0.4286516853932584
13,train,000048.SZ,京基智农,-2.55653883972468,1.8858144550983424,0.108209294528859,0.8553370786516854,0.9353932584269663,0.8953651685393258,0.8793539325842696,0.911376404494382
13,train,000049.SZ,德赛电池,-24.7578336003339,-2.701025695361914,0.0083428030944071,0.18679775280898878,0.6987359550561798,0.4427668539325843,0.34037921348314604,0.5451544943820225
13,train,000050.SZ,深天马A,-12.7429428734488,-3.688136677215973,-0.0771250679012268,0.07092696629213484,0.04985955056179775,0.060393258426966294,0.06460674157303371,0.056179775280898875
13,train,000055.SZ,方大集团,-25.2554744525548,-4.304852069148575,-0.0696776574726013,0.033707865168539325,0.07794943820224719,0.055828651685393256,0.04698033707865168,0.06467696629213482
13,train,000059.SZ,华锦股份,-5.31460785608137,-3.744788693797005,-0.0836471934058571,0.06741573033707865,0.026685393258426966,0.047050561797752806,0.055196629213483145,0.03890449438202247
13,train,000060.SZ,中金岭南,-5.51004109469272,-3.3701314833466878,-0.0637900009821243,0.09339887640449439,0.11657303370786516,0.10498595505617977,0.10035112359550562,0.10962078651685393
13,train,000063.SZ,中兴通讯,11.4041095890411,-0.5208526414743468,0.0793819462714618,0.5877808988764045,0.9080056179775281,0.7478932584269663,0.6838483146067416,0.8119382022471909
13,train,000066.SZ,中国长城,-2.74361400189216,0.1825893719374203,0.0545742327714972,0.6889044943820225,0.8672752808988764,0.7780898876404494,0.7424157303370786,0.8137640449438202
13,train,000070.SZ,ST特信,1.18458251427984,-0.2692157191858624,0.0264120150747505,0.6228932584269663,0.7794943820224719,0.7011938202247191,0.6698735955056179,0.7325140449438202
13,train,000100.SZ,TCL科技,-15.855421767502,-4.012886595779095,-0.0578129118385616,0.04845505617977528,0.16502808988764045,0.10674157303370786,0.08342696629213484,0.1300561797752809
13,train,000153.SZ,丰原药业,-8.62573099415205,-0.6500952231777103,-0.0256165678613494,0.5639044943820225,0.449438202247191,0.5066713483146068,0.529564606741573,0.4837780898876405
13,train,000157.SZ,中联重科,34.1517857142857,-3.614069855431664,-0.0789654925195923,0.07443820224719101,0.042134831460674156,0.05828651685393259,0.06474719101123595,0.05182584269662921
13,train,000301.SZ,东方盛虹,-6.87479682310156,-3.563805174561622,-0.0612917880313832,0.07794943820224719,0.14325842696629212,0.11060393258426965,0.09754213483146065,0.12366573033707864
13,train,000333.SZ,美的集团,9.24201229041095,-4.417838926105236,-0.0003968796838131,0.028792134831460675,0.6355337078651685,0.3321629213483146,0.210814606741573,0.4535112359550561
13,train,000338.SZ,潍柴动力,3.71308016877638,-4.10505883070727,-0.0451120126468129,0.04424157303370786,0.2830056179775281,0.16362359550561797,0.11587078651685392,0.21137640449438203
13,train,000400.SZ,许继电气,-14.0581618698992,-2.453181497925,-0.0617505514803126,0.238061797752809,0.136938202247191,0.1875,0.20772471910112358,0.1672752808988764
