split,strategy,period_count,holding_period_avg_return,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,alpha,beta,max_drawdown,win_rate,average_turnover
all,hybrid_score_30_70_top10,18,5.885603500825295,1.2977558191379548,0.20306682164168577,0.32983719021494395,0.6156577477189696,0.02636440498141493,1.6923111030987943,-0.24430050527328662,0.6111111111111112,0.8888888888888891
all,hybrid_score_30_70_top20,18,3.4788427663104042,0.6401953398239444,0.1162322653973511,0.24912093617778905,0.4665696395520934,-0.01842770553246667,1.275600871616394,-0.17643087814083225,0.5555555555555556,0.8250000000000004
all,hybrid_score_50_50_top10,18,5.319562589501981,1.0402490885748015,0.1717055504942877,0.34779607146803637,0.49369606094032037,-0.0031956486051929744,1.7483147813216628,-0.296849330549522,0.5555555555555556,0.8555555555555556
all,hybrid_score_50_50_top20,18,4.182444330904497,0.8281935293921958,0.14347624892214506,0.2632096127515316,0.5451026177284256,-0.0023098953100638975,1.3729518052850709,-0.17782754357490982,0.5555555555555556,0.8305555555555559
all,hybrid_score_50_50_top30,18,4.066840924125587,0.8518638060963961,0.14674980873916077,0.23038613879825348,0.6369732550084878,0.010640909099726592,1.2306849682811463,-0.1292403294921859,0.5555555555555556,0.8074074074074082
all,hybrid_score_70_30_top10,18,3.1126396920391945,0.4981971713151172,0.09399497526351541,0.27148118607239247,0.3462301628461685,-0.045851938384084426,1.3790218034390616,-0.2602945480688321,0.5555555555555556,0.8166666666666669
all,hybrid_score_70_30_top20,18,4.69987051018729,0.9814758433842532,0.1641193473150846,0.27485472510475795,0.5971130649201402,0.009063362746483533,1.4484266538395902,-0.1495195461542178,0.5555555555555556,0.8138888888888892
all,pure_promethee_score_top10,18,1.902376704726589,0.18191129505708625,0.03783896986866009,0.29780743013030864,0.12705851513544597,-0.0951611611761288,1.3862966886379164,-0.2884273207424337,0.5,0.47777777777777786
all,pure_promethee_score_top20,18,3.722876290341242,0.629344920867505,0.11458708614866286,0.3002397270436149,0.38165197949309737,-0.031873375226056544,1.4634585754979985,-0.2257908948672963,0.4444444444444444,0.4222222222222223
all,pure_promethee_score_top30,18,3.8971599588911605,0.7064727581991324,0.12610175545157598,0.2861477480032155,0.4406875690322013,-0.014284929376256444,1.3775145523775179,-0.22002416659650137,0.5,0.34814814814814826
all,pure_stagewise_score_top10,18,3.6823025451107085,0.6597489905770437,0.11917580832520902,0.2786267809116631,0.42772560460723613,-0.027748953010630184,1.4169343536599186,-0.15707872559177705,0.6111111111111112,0.8944444444444447
all,pure_stagewise_score_top20,18,3.7530600513300363,0.6901092516487835,0.12369313773458313,0.26702075837548855,0.46323416384221333,-0.027688150077409823,1.439353070759868,-0.1631005515643107,0.5555555555555556,0.866666666666667
all,pure_stagewise_score_top30,18,2.9070913831278142,0.5331524058817521,0.0996163386649409,0.2106725796729274,0.4728490951200051,-0.03126790080532357,1.1944104715210426,-0.13871129334641152,0.5,0.8462962962962973
test,hybrid_score_30_70_top10,5,-5.219384132855419,-0.24430050527328662,-0.20075614574158873,0.14866021853369837,-1.3504362345335934,-0.22873340189986968,0.9381180214819067,-0.16091240075200886,0.2,0.9000000000000001
test,hybrid_score_30_70_top20,5,-3.600034756732893,-0.17643087814083225,-0.14382992511499681,0.1419285185215098,-1.0133969311685505,-0.16555237159915348,1.0129936318823254,-0.09325016000885322,0.2,0.8500000000000003
test,hybrid_score_50_50_top10,5,-5.334001804460816,-0.25098942217139086,-0.2064206455203088,0.16599702839551558,-1.2435201251222234,-0.2365510404231878,1.0900804371537678,-0.17313088747816852,0.2,0.8600000000000001
test,hybrid_score_50_50_top20,5,-3.607011232634921,-0.17782754357490982,-0.14499168414107022,0.1509622244597572,-0.9604501037259252,-0.16674390323731322,1.055883972745507,-0.09246028685378771,0.2,0.8300000000000004
test,hybrid_score_50_50_top30,5,-2.0080132368957537,-0.1064059179444502,-0.0860714862092341,0.147883211992072,-0.582023375404156,-0.10127939040143283,0.9851612937805214,-0.06500423017646484,0.2,0.8133333333333344
test,hybrid_score_70_30_top10,5,-5.198628145298992,-0.24336383445524812,-0.19996372954404928,0.14834560336752756,-1.347958584580612,-0.2281332465823388,0.9489330192009118,-0.15744385309448616,0.2,0.8000000000000002
test,hybrid_score_70_30_top20,5,-2.84951753714151,-0.14439613028365483,-0.11728970432421049,0.14985923611981905,-0.7826658360278322,-0.13563838213073484,1.0180089824692302,-0.11027683487680384,0.2,0.8000000000000004
test,pure_promethee_score_top10,5,-5.863455464608317,-0.26880602225689676,-0.221558313923781,0.14108572320752744,-1.5703808215795434,-0.2539238422527723,0.9112120244384485,-0.16500202059842384,0.2,0.4800000000000001
