quarter_period,date,ntis,tms,infl,m2gr,itgr,dp,de,bm,svar,ep,mtr
2016Q1,2016-01-01,0.0256291793128215,0.4536,100.5,14.0,-14.3,8.34333478471736,-2.61472540500845,3.65710137849869,0.00535548,-2.12052421516414,0.303328467343737
2016Q2,2016-04-01,0.0276239384049388,0.6645,99.8,12.8,-5.8,10.3755521914432,-0.926558982755346,3.71206334669788,0.00196422,-1.78548227171723,0.260470320595963
2016Q3,2016-07-01,0.027817166861555,0.5207,100.2,10.2,-7.9,9.41915302189061,-2.05402401962694,3.64918676962879,0.00098681,-1.6052819237991,0.177385107868586
2016Q4,2016-10-01,0.0327723737628041,0.5441,99.9,11.6,-4.9,8.42160332004203,-3.13587139107135,3.68491689741949,0.00134035,-1.45969280572796,0.190832254336897
2017Q1,2017-01-01,0.0310306571350392,0.6408,101.0,11.3,11.4,8.72629875503991,-2.28863255545278,3.57837602569231,0.00058377,-2.05534548925716,0.208300156672904
2017Q2,2017-04-01,0.0303290314285183,0.2593,100.1,10.5,9.7,10.3396054589068,-1.01365347445445,3.6773538866538,0.00056813,-1.69575625143862,0.158054672461266
2017Q3,2017-07-01,0.026306114194871,0.2365,100.1,9.2,8.8,9.51594638718102,-2.00358565823586,3.51934659723513,0.00015928,-1.50883071188804,0.206783255708373
2017Q4,2017-10-01,0.0242881942734815,0.3459,100.1,8.8,11.2,8.18190734325134,-3.45376249092819,3.5852309097972,0.00078662,-1.37642120230648,0.138403468157867
2018Q1,2018-01-01,0.0247201207597619,0.5004,100.6,8.6,22.0,8.4009765763046,-2.68415481757462,3.72260471233313,0.0020812,-1.99999148433844,0.175072031119584
2018Q2,2018-04-01,0.0241041173060918,0.5367,99.8,8.3,16.6,10.5113674931059,-0.926446180677067,4.19920130689859,0.00302907,-1.65379976456846,0.136764786485784
2018Q3,2018-07-01,0.0261188119436148,0.5704,100.3,8.5,18.8,9.72252662888829,-1.95267712056938,4.45337448586432,0.00220982,-1.40877674157175,0.105468867635588
2018Q4,2018-10-01,0.0221191091234305,0.6693,100.2,8.0,18.2,8.89938593731703,-2.87732703274378,5.04257888732259,0.00190235,-1.38522009811551,0.11283676758661
2019Q1,2019-01-01,0.0144130018062616,0.7205,100.5,8.4,4.1,8.51124257807654,-2.68151653448268,4.12054247562735,0.00599533,-1.93725443016994,0.319911992538317
2019Q2,2019-04-01,0.0128032102625058,0.7851,100.1,8.5,0.4,10.6669364024359,-0.840795308445509,4.40430585931119,0.00196309,-1.61399527865418,0.166330285184653
2019Q3,2019-07-01,0.0120517177009078,0.6061,100.4,8.1,-0.7,9.63672990433716,-2.03830419989526,4.44762064798648,0.0012258,-1.43393730399856,0.193634240316266
2019Q4,2019-10-01,0.012609180132912,0.6627,100.9,8.4,-3.5,8.63324406569116,-3.09979966017998,4.36416319319027,0.00109429,-1.42737207566434,0.179078749467023
2020Q1,2020-01-01,0.0105587473842225,0.8182,101.4,8.4,-7.3,8.07096043358984,-3.02337200255816,4.8402935076583,0.00730539,-2.12250614755089,0.297770539452507
2020Q2,2020-04-01,0.0114971268404993,1.4377,99.1,11.1,-5.1,10.6422801115417,-0.748219819833087,4.35158931887322,0.00115159,-1.69269655628479,0.213063103259503
2020Q3,2020-07-01,0.0128835044238894,0.82,100.6,10.7,3.4,9.46693435686955,-2.11181490216997,4.04198078545868,0.00201049,-1.47060982841188,0.22526478114057
2020Q4,2020-10-01,0.0149801198347911,0.4606,99.7,10.5,8.4,8.62640692467448,-3.02834613063942,3.70499328788619,0.00178009,-1.40145951913563,0.233663697192787
2021Q1,2021-01-01,0.0137806217180122,0.4848,101.0,9.4,25.6,8.60180078701101,-2.56793682864565,3.90275437565029,0.0037318,-1.89239901867437,0.217065905123906
2021Q2,2021-04-01,0.0142636227439918,0.7077,99.7,8.1,37.0,10.586600156385,-0.88213750070566,3.65444066404547,0.00070573,-1.57523282128136,0.237458816413416
2021Q3,2021-07-01,0.0134640619529478,0.8173,100.3,8.3,23.1,9.59050325116347,-2.0628753470102,3.72735678485886,0.00152485,-1.3888109806832,0.319469203922936
2021Q4,2021-10-01,0.0130792330099636,0.6526,100.7,8.7,24.3,8.71164301072677,-3.00527212558615,3.58490648916067,0.00105938,-1.3285025058689,0.275455542385255
2022Q1,2022-01-01,0.0177960277331649,0.6943,100.4,9.8,22.2,8.35006838167131,-2.87026675460642,4.20384707569731,0.00673645,-1.81809347963455,0.270029305489553
2022Q2,2022-04-01,0.0174844734956845,0.7406,100.4,10.5,2.1,10.6694062911148,-0.862307984270586,4.10821910331684,0.00179554,-1.54647078620184,0.274992281565904
2022Q3,2022-07-01,0.0171578990964313,0.9199,100.5,12.0,11.0,9.87615943410654,-1.86715615187057,4.66851942578912,0.00173117,-1.33123079645285,0.193582658945017
2022Q4,2022-10-01,0.0177074131962274,0.8444,100.1,11.8,-0.4,9.73870101352187,-2.05971758746316,4.53991594196386,0.00115219,-1.2943439564328,0.204808264166004
2023Q1,2023-01-01,0.0150455401789328,0.7191,100.8,12.6,-15.1,8.37693137127928,-2.85582097348354,4.40875344120665,0.00109852,-1.96968701350368,0.235025446657052
2023Q2,2023-04-01,0.0156676619982712,0.6331,99.9,12.4,1.1,10.7475869739349,-0.790083405551488,4.57781883184611,0.00098582,-1.64481803290764,0.225692347939339
