quarter_idx,split,strategy,score_col,topk,portfolio_return,benchmark_return,excess_return,turnover,holding_count
13,train,pure_stagewise_score_top10,pure_stagewise_score,10,-18.08410389478639,-7.914060610601374,-10.170043284185017,0.49999999999999994,10
14,train,pure_stagewise_score_top10,pure_stagewise_score,10,-5.107673833090544,-1.945782629963268,-3.1618912031272766,0.8000000000000002,10
15,train,pure_stagewise_score_top10,pure_stagewise_score,10,1.267130337207909,5.373002977571485,-4.105872640363575,0.8000000000000002,10
16,train,pure_stagewise_score_top10,pure_stagewise_score,10,-1.6698898033830822,-1.5970844833882765,-0.07280531999480577,0.9000000000000002,10
17,train,pure_stagewise_score_top10,pure_stagewise_score,10,8.703688738237204,8.62059914061964,0.08308959761756363,0.9000000000000002,10
18,train,pure_stagewise_score_top10,pure_stagewise_score,10,14.627083371953125,13.312880684614123,1.3142026873390016,1.0000000000000002,10
19,train,pure_stagewise_score_top10,pure_stagewise_score,10,2.23124136957984,4.8096274712707405,-2.5783861016909007,0.9000000000000002,10
20,train,pure_stagewise_score_top10,pure_stagewise_score,10,0.8672177697040251,0.0416997801260893,0.8255179895779358,1.0000000000000002,10
21,train,pure_stagewise_score_top10,pure_stagewise_score,10,42.49505211057431,13.191845569003988,29.303206541570326,1.0000000000000002,10
22,valid,pure_stagewise_score_top10,pure_stagewise_score,10,16.101210982874797,9.158055960388827,6.9431550224859695,1.0000000000000002,10
23,valid,pure_stagewise_score_top10,pure_stagewise_score,10,3.2715363655401575,14.597573182972084,-11.326036817431927,1.0000000000000002,10
24,valid,pure_stagewise_score_top10,pure_stagewise_score,10,-4.3691155181007915,-9.444570757478221,5.07545523937743,0.9000000000000002,10
25,valid,pure_stagewise_score_top10,pure_stagewise_score,10,11.35679016881934,4.7276673056485645,6.629122863170775,0.9000000000000002,10
26,test,pure_stagewise_score_top10,pure_stagewise_score,10,-12.580355432118829,-8.793030026774517,-3.787325405344312,1.0000000000000002,10
