quarter_idx,split,stock_id,stock_name,future_return_1q,score,portfolio_rank,weight,strategy,score_col,topk
13,train,000017.SZ,深中华A,-16.9144981412639,1.0,1,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
13,train,600421.SH,华嵘控股,-29.1139240506329,0.9992977528089888,2,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
13,train,600610.SH,中毅达,-21.256038647343,0.9985955056179775,3,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
13,train,002248.SZ,华东数控,-7.32177263969174,0.9978932584269663,4,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
13,train,000677.SZ,恒天海龙,-27.2727272727273,0.9971910112359551,5,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
13,train,600234.SH,*ST科新,-9.20398009950247,0.9964887640449438,6,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
13,train,600800.SH,渤海化学,-24.5635910224439,0.9957865168539326,7,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
13,train,600319.SH,亚星化学,-16.5261382799325,0.9950842696629213,8,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
13,train,000020.SZ,深华发A,-12.64,0.9943820224719101,9,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
13,train,600678.SH,四川金顶,-16.0283687943262,0.9936797752808989,10,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
14,train,600883.SH,博闻科技,-8.53146853146852,1.0,1,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
14,train,002625.SZ,光启技术,-3.55220667384283,0.9992977528089888,2,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
14,train,600191.SH,华资实业,-5.44464609800363,0.9985955056179775,3,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
14,train,600345.SH,长江通信,-13.9422435645043,0.9978932584269663,4,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
14,train,600615.SH,丰华股份,19.8047419804742,0.9971910112359551,5,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
14,train,000670.SZ,盈方微,3.94736842105263,0.9964887640449438,6,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
14,train,600610.SH,中毅达,0.0,0.9957865168539326,7,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
14,train,000820.SZ,神雾节能,-33.7552742616034,0.9950842696629213,8,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
14,train,000536.SZ,华映科技,9.52380952380951,0.9943820224719101,9,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
14,train,002248.SZ,华东数控,-19.1268191268191,0.9936797752808989,10,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
15,train,600416.SH,湘电股份,3.77906976744184,1.0,1,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
15,train,002374.SZ,中锐股份,2.82685512367491,0.9992977528089888,2,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
15,train,000536.SZ,华映科技,-2.52707581227436,0.9985955056179775,3,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
15,train,002472.SZ,双环传动,4.28305400372437,0.9978932584269663,4,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
15,train,002122.SZ,汇洲智能,-2.5,0.9971910112359551,5,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
15,train,002501.SZ,利源股份,33.0769230769231,0.9964887640449438,6,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
15,train,600961.SH,株冶集团,-8.78155872667397,0.9957865168539326,7,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
15,train,002625.SZ,光启技术,3.27313769751694,0.9950842696629213,8,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
15,train,600458.SH,时代新材,-22.6125137211855,0.9943820224719101,9,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
15,train,600742.SH,一汽富维,1.85341196293176,0.9936797752808989,10,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
16,train,300137.SZ,先河环保,-6.91003911342895,1.0,1,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
16,train,002397.SZ,梦洁股份,-9.57230142566191,0.9992977528089888,2,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
16,train,600351.SH,亚宝药业,-12.9824561403509,0.9985955056179775,3,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
16,train,600724.SH,宁波富达,-0.537634408602161,0.9978932584269663,4,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
16,train,300005.SZ,探路者,-23.0941704035874,0.9971910112359551,5,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
16,train,300049.SZ,福瑞股份,-0.26666666666666,0.9964887640449438,6,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
16,train,002233.SZ,塔牌集团,-0.0808407437348446,0.9957865168539326,7,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
16,train,002328.SZ,新朋股份,27.2952853598015,0.9950842696629213,8,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
16,train,600742.SH,一汽富维,-16.0626029654036,0.9943820224719101,9,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
16,train,600866.SH,星湖科技,25.5125284738041,0.9936797752808989,10,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
17,train,600220.SH,ST阳光(退市),26.6746041805538,1.0,1,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
17,train,600877.SH,电科芯片,-21.8967921896792,0.9992977528089888,2,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
17,train,002690.SZ,美亚光电,41.1146912035334,0.9985955056179775,3,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
17,train,000422.SZ,湖北宜化,0.393700787401574,0.9978932584269663,4,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
17,train,600779.SH,水井坊,44.7923915564834,0.9971910112359551,5,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
17,train,600724.SH,宁波富达,0.663284471534298,0.9964887640449438,6,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
17,train,600817.SH,宇通重工,-1.7989417989418,0.9957865168539326,7,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
17,train,000677.SZ,恒天海龙,-6.74846625766869,0.9950842696629213,8,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
17,train,600399.SH,抚顺特钢,3.24189526184537,0.9943820224719101,9,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
17,train,002521.SZ,齐峰新材,0.600520167309893,0.9936797752808989,10,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
18,train,300116.SZ,*ST保力(退市),135.374149659864,1.0,1,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
18,train,600883.SH,博闻科技,-16.4179104477612,0.9992977528089888,2,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
18,train,000820.SZ,神雾节能,15.7894736842106,0.9985955056179775,3,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
18,train,600321.SH,正源股份(退市),6.15384257930578,0.9978932584269663,4,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
18,train,000691.SZ,亚太实业,-2.86806883365202,0.9971910112359551,5,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
18,train,600345.SH,长江通信,-0.498731920200701,0.9964887640449438,6,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
18,train,002716.SZ,湖南白银,34.9315068493151,0.9957865168539326,7,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
18,train,600186.SH,莲花控股,4.78087649402392,0.9950842696629213,8,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
18,train,000982.SZ,中银绒业(退市),-7.8740157480315,0.9943820224719101,9,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
18,train,000523.SZ,红棉股份,-23.1002885975427,0.9936797752808989,10,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
19,train,300116.SZ,*ST保力(退市),-44.1666666666667,1.0,1,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
19,train,603288.SH,海天味业,26.6675088428499,0.9992977528089888,2,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
19,train,300122.SZ,智飞生物,9.56296296296295,0.9985955056179775,3,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
19,train,000911.SZ,广农糖业,-8.47255369928402,0.9978932584269663,4,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
19,train,600610.SH,中毅达,10.2620087336244,0.9971910112359551,5,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
19,train,601777.SH,力帆科技,-14.4665461121157,0.9964887640449438,6,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
19,train,600436.SH,片仔癀,13.4767116314584,0.9957865168539326,7,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
19,train,600319.SH,亚星化学,11.3733905579399,0.9950842696629213,8,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
19,train,600234.SH,*ST科新,3.76106194690267,0.9943820224719101,9,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
19,train,600132.SH,重庆啤酒,14.3145354981266,0.9936797752808989,10,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
20,train,601766.SH,中国中车,21.8216318785579,1.0,1,0.1,pure_stagewise_score_top10,pure_stagewise_score,10
