quarter_idx,stock_id,stock_name,promethee_phi_plus,promethee_phi_minus,promethee_net_flow,promethee_rank
13,000008.SZ,神州高铁,0.051233844006723935,0.05148636306625082,-0.0002525190595268831,515.0
13,000012.SZ,南玻A,0.014715980632295232,0.07058042816433416,-0.055864447532038924,1173.0
13,000016.SZ,深康佳A,0.019735557099659223,0.07961077903631485,-0.05987522193665562,1212.0
13,000017.SZ,深中华A,0.6584635597604451,0.04509638013535398,0.6133671796250911,6.0
13,000020.SZ,深华发A,0.2777471417494422,0.03620011095054657,0.24154703079889564,34.0
13,000021.SZ,深科技,0.019974056991738657,0.07034488606615069,-0.05037082907441204,1098.0
13,000030.SZ,富奥股份,0.014759161033139272,0.07784938691443452,-0.06309022588129524,1249.0
13,000039.SZ,中集集团,0.014657512206551485,0.08045112938283472,-0.06579361717628324,1281.0
13,000045.SZ,深纺织A,0.03724748534162269,0.07326407173848913,-0.03601658639686644,913.0
13,000048.SZ,京基智农,0.16381759206202226,0.055608297533163195,0.10820929452885907,93.0
13,000049.SZ,德赛电池,0.06675212126122679,0.058409318166819685,0.008342803094407103,430.0
13,000050.SZ,深天马A,0.011091800340720943,0.08821686824194784,-0.07712506790122689,1354.0
13,000055.SZ,方大集团,0.01498646647463075,0.08466412394723209,-0.06967765747260134,1314.0
13,000059.SZ,华锦股份,0.011215843126552515,0.0948630365324097,-0.08364719340585719,1387.0
13,000060.SZ,中金岭南,0.011488963740464533,0.0752789647225889,-0.06379000098212437,1259.0
13,000063.SZ,中兴通讯,0.11714776508864548,0.03776581881718368,0.0793819462714618,132.0
13,000066.SZ,中国长城,0.09192869144599247,0.03735445867449527,0.0545742327714972,190.0
13,000070.SZ,ST特信,0.06600977557269046,0.03959776049793995,0.02641201507475051,315.0
13,000100.SZ,TCL科技,0.015270858608994633,0.07308377044755632,-0.05781291183856169,1190.0
13,000153.SZ,丰原药业,0.03129504889390132,0.05691161675525073,-0.02561656786134941,785.0
13,000157.SZ,中联重科,0.01457150932582697,0.09353700184541928,-0.07896549251959231,1365.0
13,000301.SZ,东方盛虹,0.012518503029148826,0.07381029106053202,-0.0612917880313832,1221.0
