quarter_idx,split,strategy,score_col,topk,buffer_rule,portfolio_return,benchmark_return,quarterly_excess_return,excess_return,turnover,holding_count
13,train,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,-10.858554689990932,-7.914060610601374,-2.9444940793895578,-2.9444940793895578,0.5000000000000001,20
14,train,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,-2.310375389222271,-1.945782629963268,-0.36459275925900303,-0.36459275925900303,0.6000000000000002,20
15,train,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,18.011956801625438,5.373002977571485,12.638953824053953,12.638953824053953,1.0000000000000004,20
16,train,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,2.4035726893138754,-1.5970844833882765,4.000657172702152,4.000657172702152,0.4500000000000001,20
17,train,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,4.463130317387409,8.62059914061964,-4.157468823232231,-4.157468823232231,0.7000000000000003,20
18,train,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,12.106241476225906,13.312880684614123,-1.2066392083882178,-1.2066392083882178,0.9000000000000005,20
19,train,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,0.6262733556471207,4.8096274712707405,-4.18335411562362,-4.18335411562362,0.6000000000000002,20
20,train,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,-2.4608973258401234,0.0416997801260893,-2.502597105966213,-2.502597105966213,0.9000000000000005,20
21,train,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,13.760268532730384,13.191845569003988,0.5684229637263964,0.5684229637263964,1.0000000000000004,20
22,valid,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,30.041955955395526,9.158055960388827,20.8838999950067,20.8838999950067,1.0000000000000004,20
23,valid,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,19.822780287400565,14.597573182972084,5.225207104428481,5.225207104428481,0.6000000000000002,20
24,valid,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,5.467082937069714,-9.444570757478221,14.911653694547935,14.911653694547935,0.8500000000000004,20
25,valid,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,20.11542456067835,4.7276673056485645,15.387757255029785,15.387757255029785,1.0000000000000004,20
26,test,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,-15.873184395464223,-8.793030026774517,-7.080154368689707,-7.080154368689707,1.0000000000000004,20
27,test,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,6.393370026492764,4.427705195647978,1.9656648308447862,1.9656648308447862,0.15,20
28,test,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,9.706435065706792,8.714858581934497,0.9915764837722953,0.9915764837722953,0.19999999999999998,20
29,test,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,-3.7729514777176414,-0.4145420671977687,-3.3584094105198727,-3.3584094105198727,0.19999999999999998,20
30,test,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,2.741199511106446,-1.2756732225217289,4.016872733628174,4.016872733628174,1.0000000000000004,20
