experiment_id,preprocessing_method,winsorize_quantile,scaling_method,rolling_window,max_selected_features,selection_objective,refit_method,ridge_alpha,feature_corr_threshold,min_improvement,promethee_top_n,entropy_weight_method,preference_function,min_selected_count,sign_stability_threshold,hybrid_score_name,top_k,rank_smoothing,buffer_rule,train_rankic,valid_rankic,test_rankic,valid_icir,test_icir,valid_annualized_return,valid_sharpe,valid_alpha,valid_information_ratio,valid_max_drawdown,valid_turnover,valid_excess_win_rate,test_annualized_return,test_sharpe,test_alpha,test_information_ratio,test_max_drawdown,test_turnover,test_excess_win_rate,selected_as_final,reason,robust_valid_score
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,none,none,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,1.0152375367945838,5.419568271156504,0.6398403670946543,2.292278705381624,0.0,0.9375000000000004,1.0,-0.0080874368852401,-0.0413081039144903,-0.0206223771919473,-0.0703924061527925,0.0,0.6100000000000001,0.6,False,,1.1590985670614573
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,none,buffer,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.9739611476614378,4.814677213868772,0.6054344297355162,2.1665663142327825,0.0,0.8625000000000004,1.0,-0.0005851064104576,-0.0029515816338796,-0.0130803605615651,-0.0263081866697867,0.0,0.5600000000000003,0.8,False,,1.1496711083145839
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,none,none,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.8066342734427605,5.209270932311029,0.5386665048606785,1.6562465263266932,0.0,0.8833333333333344,1.0,0.0122811362830059,0.0635313221935132,-0.0012674415965176,0.0395434692936003,0.0,0.6066666666666669,0.6,False,,0.9593231984717325
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,none,buffer,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.8134222565511231,5.113397261053786,0.5339063723995354,1.821914936700159,0.0,0.8500000000000009,1.0,0.0072951952999551,0.0381023313553891,-0.0062913105676995,0.0087629309570674,0.0,0.5800000000000003,0.6,False,,1.0144362535335065
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,50,none,none,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.6331771384302192,6.067884146253302,0.4511777649642583,1.1806446165902424,0.0,0.8500000000000005,0.75,0.0176694855675605,0.1003625183496493,0.0040677021480856,0.0654083173855799,0.0,0.5800000000000003,0.6,False,,0.7940489630871067
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,prev_70_30,none,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.3851771779680997,4.84250705650661,0.2805679431416491,0.5158647641448747,0.0,0.8500000000000004,0.75,0.0217063709675646,0.1082831389688379,0.0097431448747286,0.0858914630959338,0.0,0.6500000000000002,0.6,False,,0.4864431270322278
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,prev_70_30,buffer,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.3853215817058817,4.850265782908471,0.2807669227179105,0.5159287825230732,0.0,0.8125000000000003,0.75,0.0642694759228541,0.3549308131947757,0.0502866563116606,0.322117151479525,0.0,0.5700000000000002,0.8,False,,0.5120133887235075
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,prev_70_30,none,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.2711635835021106,2.5903494602778934,0.1763283947419873,0.2152127334506286,-0.0118378989114275,0.7916666666666674,0.75,0.0241461660644499,0.1296491869570551,0.0108512713291176,0.1032936943649393,0.0,0.5733333333333335,0.6,False,,0.35321940975955585
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,prev_70_30,buffer,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.2783202021292537,2.7997872890288127,0.1866244529942944,0.2290558920783791,-0.0062745714285838,0.7833333333333341,0.75,0.0314413047963602,0.1716744656926421,0.0182864802777799,0.1447573471487812,0.0,0.5466666666666669,0.6,False,,0.3754594930303005
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,50,prev_70_30,none,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.3806062457448276,3.855022914290807,0.2523501650809558,0.6435225336653584,0.0,0.7750000000000006,0.75,0.0218321796544502,0.1189793654966177,0.0080673543376353,0.0978461732063478,0.0,0.5200000000000002,0.8,False,,0.5393767418037417
