quarter_idx,split,stock_id,stock_name,future_return_1q,score,portfolio_rank,weight,strategy,score_col,topk,buffer_rule
13,train,600421.SH,华嵘控股,-29.1139240506329,1.0,1,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,600234.SH,*ST科新,-9.20398009950247,0.9992977528089888,2,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,300163.SZ,ST先锋,-0.740740740740753,0.9985955056179776,3,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,002693.SZ,双成药业,-6.28803245436105,0.9978932584269664,4,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,002098.SZ,浔兴股份,-44.0579710144928,0.9971910112359552,5,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,000820.SZ,神雾节能,-64.1452344931921,0.9964887640449438,6,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,000518.SZ,四环生物,-12.7139364303179,0.9957865168539326,7,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,300069.SZ,金利华电,28.8163265306122,0.9950842696629212,8,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,300173.SZ,福能东方,-15.2631578947368,0.99438202247191,9,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,000590.SZ,启迪药业,-33.1591173054588,0.9936797752808988,10,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,002076.SZ,星光股份,-20.0,0.9929775280898876,11,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,300018.SZ,中元股份,33.8738738738739,0.9922752808988764,12,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,002319.SZ,乐通股份,-5.04065040650408,0.9915730337078652,13,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,002213.SZ,大为股份,-20.7547169811321,0.990870786516854,14,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,600732.SH,爱旭股份,15.593220338983,0.9901685393258428,15,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,300411.SZ,金盾股份,-23.3069481090589,0.9894662921348316,16,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,300397.SZ,天和防务,-14.8614609571788,0.9887640449438202,17,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,000586.SZ,汇源通信,15.3773584905661,0.988061797752809,18,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,300030.SZ,阳普医疗,-12.9890453834116,0.9873595505617978,19,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
13,train,002058.SZ,威尔泰,0.807043286867204,0.9866573033707864,20,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,000707.SZ,双环科技,-1.33333333333333,1.0,1,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,000820.SZ,神雾节能,-33.7552742616034,0.9992977528089888,2,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,000670.SZ,盈方微,3.94736842105263,0.9985955056179776,3,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,000017.SZ,深中华A,6.71140939597314,0.9978932584269664,4,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,600234.SH,*ST科新,14.1095890410959,0.9971910112359552,5,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,300069.SZ,金利华电,-16.6032953105196,0.9964887640449438,6,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,600860.SH,京城股份,-17.8102189781022,0.9957865168539326,7,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,000868.SZ,安凯客车,33.5793357933579,0.9950842696629212,8,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,000972.SZ,中基健康,0.392156862745119,0.99438202247191,9,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,300111.SZ,向日葵,-8.04597701149427,0.9936797752808988,10,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,002076.SZ,星光股份,-16.9871794871795,0.9929775280898876,11,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,002248.SZ,华东数控,-19.1268191268191,0.9922752808988764,12,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,600698.SH,湖南天雁,4.71014492753625,0.9915730337078652,13,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
14,train,600281.SH,华阳新材,-3.45572354211663,0.990870786516854,14,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
