quarter_idx,split,stock_id,stock_name,future_return_1q,stagewise_pred,stagewise_rank,stagewise_rank_pct,selected_feature_count,selected_features,promethee_phi_plus,promethee_phi_minus,promethee_net_flow,promethee_rank,preference_function,pure_stagewise_score,pure_promethee_score,hybrid_score_70_30,hybrid_score_50_50,hybrid_score_30_70,robust__pure_stagewise_score__none
13,train,000008.SZ,神州高铁,-18.1852106920231,0.912604484236196,632.0,0.5568820224719101,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.1671802321811617,0.09712502145231612,0.07005521072884559,399.0,linear,0.5568820224719101,0.7205056179775281,0.714185393258427,0.6839887640449438,0.6376404494382022,0.5568820224719101
13,train,000012.SZ,南玻A,-16.4867368976749,-0.8902555795274895,852.0,0.4023876404494382,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.0503501751157635,0.13599118426808038,-0.08564100915231687,946.0,linear,0.4023876404494382,0.336376404494382,0.3339185393258427,0.32162921348314605,0.33707865168539325,0.4023876404494382
13,train,000016.SZ,深康佳A,-24.865831842576,-3.5079034623574703,1193.0,0.16292134831460675,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.022168173682321497,0.21786958515208132,-0.19570141146975983,1343.0,linear,0.16292134831460675,0.05758426966292135,0.0702247191011236,0.0800561797752809,0.10042134831460674,0.16292134831460675
13,train,000017.SZ,深中华A,-16.9144981412639,8.186546373877942,34.0,0.9768258426966292,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.596437326261557,0.12252131387911458,0.4739160123824424,18.0,linear,0.9768258426966292,0.988061797752809,0.9894662921348315,0.9866573033707865,0.985252808988764,0.9768258426966292
13,train,000020.SZ,深华发A,-12.64,6.687428470272463,97.0,0.9325842696629213,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.4323611923137128,0.12755683264564055,0.30480435966807223,75.0,linear,0.9325842696629213,0.9480337078651685,0.964185393258427,0.9627808988764045,0.9564606741573034,0.9325842696629213
13,train,000021.SZ,深科技,-12.2718015446144,-4.984662531674319,1298.0,0.08918539325842696,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.015759234667449416,0.21545117553129234,-0.19969194086384293,1352.0,linear,0.08918539325842696,0.051264044943820225,0.04985955056179775,0.055828651685393256,0.06390449438202248,0.08918539325842696
13,train,000030.SZ,富奥股份,-7.20504058437637,-7.167258765389056,1395.0,0.021067415730337078,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.016904251429642,0.2002985399732621,-0.1833942885436201,1317.0,linear,0.021067415730337078,0.07584269662921349,0.047050561797752806,0.038623595505617975,0.028792134831460675,0.021067415730337078
13,train,000039.SZ,中集集团,-10.4060438833934,-6.161444971899491,1365.0,0.042134831460674156,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.019419204154090968,0.19963868807416937,-0.18021948392007842,1307.0,linear,0.042134831460674156,0.08286516853932584,0.056179775280898875,0.04915730337078652,0.0449438202247191,0.042134831460674156
13,train,000045.SZ,深纺织A,-9.38303341902314,2.3445143646395925,460.0,0.6776685393258427,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.047889007210949144,0.19517292420265087,-0.14728391699170174,1203.0,linear,0.6776685393258427,0.15589887640449437,0.27457865168539325,0.375,0.5245786516853933,0.6776685393258427
13,train,000048.SZ,京基智农,-2.55653883972468,-1.8008231304098008,983.0,0.3103932584269663,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.4383655656847242,0.2966615129444151,0.14170405274030906,231.0,linear,0.3103932584269663,0.8384831460674157,0.726123595505618,0.5902387640449438,0.4487359550561798,0.3103932584269663
13,train,000049.SZ,德赛电池,-24.7578336003339,-5.282655859171067,1316.0,0.07654494382022473,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.09499585372962674,0.2568360926751918,-0.16184023894556507,1254.0,linear,0.07654494382022473,0.12008426966292135,0.08146067415730338,0.07443820224719101,0.07092696629213484,0.07654494382022473
13,train,000050.SZ,深天马A,-12.7429428734488,-2.7839850108154867,1107.0,0.22331460674157302,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.030153924948708506,0.22185847318085125,-0.19170454823214275,1338.0,linear,0.22331460674157302,0.061095505617977525,0.08216292134831461,0.10533707865168539,0.13237359550561797,0.22331460674157302
13,train,000055.SZ,方大集团,-25.2554744525548,-6.922829591801282,1386.0,0.027387640449438203,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.028906800251773022,0.3908814779621741,-0.3619746777104011,1417.0,linear,0.027387640449438203,0.0056179775280898875,0.010533707865168539,0.012640449438202247,0.0175561797752809,0.027387640449438203
13,train,000059.SZ,华锦股份,-5.31460785608137,-5.81956611441104,1348.0,0.05407303370786517,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.02484524626736833,0.20233783975864067,-0.17749259349127233,1300.0,linear,0.05407303370786517,0.0877808988764045,0.06355337078651685,0.05898876404494382,0.05056179775280899,0.05407303370786517
13,train,000060.SZ,中金岭南,-5.51004109469272,-5.415137063109767,1329.0,0.06741573033707865,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.017853487102522384,0.19164277169751423,-0.17378928459499185,1291.0,linear,0.06741573033707865,0.09410112359550561,0.06882022471910113,0.06601123595505617,0.06179775280898876,0.06741573033707865
13,train,000063.SZ,中兴通讯,11.4041095890411,6.236108047657043,115.0,0.9199438202247191,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.2989643078200393,0.11462562103611358,0.18433868678392573,186.0,linear,0.9199438202247191,0.8700842696629213,0.922752808988764,0.9311797752808989,0.9311797752808989,0.9199438202247191
13,train,000066.SZ,中国长城,-2.74361400189216,-3.5427154817082047,1196.0,0.16081460674157302,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.16887261241558588,0.16115500662261473,0.0077176057929711495,574.0,linear,0.16081460674157302,0.5976123595505618,0.44803370786516855,0.3300561797752809,0.2443820224719101,0.16081460674157302
13,train,000070.SZ,ST特信,1.18458251427984,-2.3718157760541856,1057.0,0.25842696629213485,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.09912639756726072,0.13709209032275876,-0.03796569275549805,744.0,linear,0.25842696629213485,0.4782303370786517,0.39115168539325845,0.32092696629213485,0.2731741573033708,0.25842696629213485
13,train,000100.SZ,TCL科技,-15.855421767502,-6.612689803587265,1377.0,0.033707865168539325,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.019309052627776845,0.22197870879221746,-0.2026696561644406,1355.0,linear,0.033707865168539325,0.04915730337078652,0.03581460674157303,0.03160112359550562,0.02949438202247191,0.033707865168539325
13,train,000153.SZ,丰原药业,-8.62573099415205,2.664489739662366,424.0,0.7029494382022472,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.1366457210597834,0.10524416880920952,0.03140155225057388,489.0,linear,0.7029494382022472,0.6573033707865169,0.7127808988764045,0.7471910112359551,0.7366573033707865,0.7029494382022472
13,train,000157.SZ,中联重科,34.1517857142857,-4.366299896692019,1258.0,0.1172752808988764,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.06641924873284497,0.18750529892856058,-0.12108605019571561,1104.0,linear,0.1172752808988764,0.22542134831460675,0.15168539325842698,0.12359550561797752,0.11341292134831461,0.1172752808988764
13,train,000301.SZ,东方盛虹,-6.87479682310156,-5.404067767996815,1327.0,0.06882022471910113,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.016665779154201178,0.19837786018674552,-0.18171208103254435,1313.0,linear,0.06882022471910113,0.07865168539325842,0.06179775280898876,0.061095505617977525,0.060393258426966294,0.06882022471910113
13,train,000333.SZ,美的集团,9.24201229041095,-4.870931287170606,1292.0,0.09339887640449439,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.11638031545019462,0.2545993389230546,-0.13821902347285997,1174.0,linear,0.09339887640449439,0.17626404494382023,0.11411516853932584,0.0997191011235955,0.0898876404494382,0.09339887640449439
13,train,000338.SZ,潍柴动力,3.71308016877638,-7.13230888981435,1393.0,0.02247191011235955,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.027814752996378908,0.2774054650090681,-0.24959071201268918,1404.0,linear,0.02247191011235955,0.014747191011235955,0.013342696629213483,0.014747191011235955,0.016853932584269662,0.02247191011235955
13,train,000400.SZ,许继电气,-14.0581618698992,-0.9657814552593217,868.0,0.39115168539325845,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.039780714181419756,0.1689266087655271,-0.12914589458410733,1133.0,linear,0.39115168539325845,0.2050561797752809,0.2148876404494382,0.24367977528089887,0.28792134831460675,0.39115168539325845
13,train,000401.SZ,冀东水泥,2.59023823116209,-5.310108740165321,1319.0,0.07443820224719101,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.07444096541413112,0.1590660032070344,-0.08462503779290328,941.0,linear,0.07443820224719101,0.3398876404494382,0.21348314606741572,0.1523876404494382,0.1172752808988764,0.07443820224719101
13,train,000403.SZ,派林生物,-6.64335664335665,0.9428329883145435,625.0,0.5617977528089888,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.565186153883677,0.05673280886745549,0.5084533450162215,13.0,linear,0.5617977528089888,0.9915730337078652,0.9058988764044944,0.8448033707865169,0.7387640449438202,0.5617977528089888
13,train,000404.SZ,长虹华意,-11.2821781745304,0.1516167593979213,733.0,0.4859550561797753,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.03628983024660791,0.2075786833131643,-0.1712888530665564,1283.0,linear,0.4859550561797753,0.0997191011235955,0.17345505617977527,0.23595505617977527,0.3258426966292135,0.4859550561797753
