quarter_idx,feature,weight,direction,coefficient_for_direction,selected_count,sign_stability,entropy_weight_method,preference_function
19,composite_净资产收益率_TTM_x_itgr,0.06013235060527129,positive,2.346812980538829,2,1.0,smooth_80_20,linear
19,composite_市净率PB_LF_x_itgr,0.16989227073170166,negative,-1.9341620397151993,2,1.0,smooth_80_20,linear
19,composite_总资产报酬率_TTM_x_infl,0.03211972959399062,positive,1.5083915572520885,2,1.0,smooth_80_20,linear
20,composite_市净率PB_LF_x_ntis,0.10664772708956337,negative,-2.31568677059292,4,1.0,smooth_80_20,linear
20,composite_净资产收益率_TTM_x_m2gr,0.03741639564448706,negative,-3.095290292114056,3,1.0,smooth_80_20,linear
20,composite_流通市值_x_bm,0.1827492108685726,negative,-2.245914970607303,3,1.0,smooth_80_20,linear
20,composite_流通市值_x_mtr,0.18274921086857246,positive,2.023333030618362,3,1.0,smooth_80_20,linear
20,composite_销售净利率_TTM_x_m2gr,0.03701304584940437,negative,-1.6233179432073557,3,1.0,smooth_80_20,linear
20,composite_总市值_证监会算法_x_bm,0.1827307668021773,negative,-3.1261041444547386,2,1.0,smooth_80_20,linear
20,composite_净资产收益率_TTM_x_bm,0.019346567350313256,negative,-2.841365875454727,2,1.0,smooth_80_20,linear
20,composite_净资产收益率_TTM_x_svar,0.01934656735031369,negative,-2.7769358100611052,2,1.0,smooth_80_20,linear
20,composite_净资产收益率_TTM_x_itgr,0.01934656735031369,positive,2.346812980538829,2,1.0,smooth_80_20,linear
20,composite_销售毛利率_TTM_x_dp,0.0446708519863952,negative,-2.0733358571373994,2,1.0,smooth_80_20,linear
20,composite_市净率PB_LF_x_itgr,0.01969582765776493,negative,-1.9341620397151993,2,1.0,smooth_80_20,linear
20,composite_经营活动净收益_利润总额_TTM_x_ep,0.11928354660530784,negative,-1.6506406697466294,2,1.0,smooth_80_20,linear
20,composite_总资产报酬率_TTM_x_infl,0.02900371457681431,positive,1.5083915572520885,2,1.0,smooth_80_20,linear
21,composite_市净率PB_LF_x_ntis,0.10062365106320216,negative,-2.31568677059292,4,1.0,smooth_80_20,linear
21,composite_净资产收益率_TTM_x_m2gr,0.016542150476304772,negative,-3.095290292114056,3,1.0,smooth_80_20,linear
21,composite_流通市值_x_bm,0.17277631993539613,negative,-2.245914970607303,3,1.0,smooth_80_20,linear
21,composite_流通市值_x_mtr,0.1727763199353964,positive,2.023333030618362,3,1.0,smooth_80_20,linear
21,composite_销售净利率_TTM_x_m2gr,0.016935841667276637,negative,-1.6233179432073557,3,1.0,smooth_80_20,linear
21,composite_总市值_证监会算法_x_bm,0.17271018184980544,negative,-3.1261041444547386,2,1.0,smooth_80_20,linear
21,composite_净资产收益率_TTM_x_bm,0.016542150476304772,negative,-2.841365875454727,2,1.0,smooth_80_20,linear
21,composite_净资产收益率_TTM_x_svar,0.03431696696355712,negative,-2.7769358100611052,2,1.0,smooth_80_20,linear
21,composite_净资产收益率_TTM_x_ntis,0.016542150476304772,negative,-2.5279847881268056,2,1.0,smooth_80_20,linear
21,composite_流通市值_x_infl,0.17277631993539613,positive,2.438700098948302,2,1.0,smooth_80_20,linear
21,composite_净资产收益率_TTM_x_itgr,0.016542150476304772,positive,2.346812980538829,2,1.0,smooth_80_20,linear
21,composite_销售毛利率_TTM_x_dp,0.04034188623928591,negative,-2.0733358571373994,2,1.0,smooth_80_20,linear
21,composite_市净率PB_LF_x_itgr,0.01714308833000832,negative,-1.9341620397151993,2,1.0,smooth_80_20,linear
21,composite_经营活动净收益_利润总额_TTM_x_ep,0.015147361585215999,negative,-1.6506406697466294,2,1.0,smooth_80_20,linear
21,composite_总资产报酬率_TTM_x_infl,0.018283460590240705,positive,1.5083915572520885,2,1.0,smooth_80_20,linear
22,composite_市净率PB_LF_x_ntis,0.10985468428670035,negative,-2.31568677059292,4,1.0,smooth_80_20,linear
22,composite_净资产收益率_TTM_x_m2gr,0.015978144389294784,negative,-3.095290292114056,3,1.0,smooth_80_20,linear
22,composite_净资产收益率_TTM_x_ntis,0.015978144389294627,negative,-2.8007101372098355,3,1.0,smooth_80_20,linear
22,composite_流通市值_x_bm,0.18524045745237414,negative,-2.245914970607303,3,1.0,smooth_80_20,linear
22,composite_流通市值_x_mtr,0.18524045745237414,positive,2.023333030618362,3,1.0,smooth_80_20,linear
22,composite_销售净利率_TTM_x_m2gr,0.01641016966777174,negative,-1.6233179432073557,3,1.0,smooth_80_20,linear
22,composite_总市值_证监会算法_x_bm,0.185183640212193,negative,-3.1261041444547386,2,1.0,smooth_80_20,linear
22,composite_净资产收益率_TTM_x_bm,0.015978144389294936,negative,-2.841365875454727,2,1.0,smooth_80_20,linear
22,composite_净资产收益率_TTM_x_svar,0.015978144389294936,negative,-2.7769358100611052,2,1.0,smooth_80_20,linear
22,composite_流通市值_x_infl,0.020960815938014576,positive,2.438700098948302,2,1.0,smooth_80_20,linear
22,composite_净资产收益率_TTM_x_itgr,0.015978144389294627,positive,2.346812980538829,2,1.0,smooth_80_20,linear
22,composite_销售毛利率_TTM_x_dp,0.02487933965279369,negative,-2.0733358571373994,2,1.0,smooth_80_20,linear
22,composite_市净率PB_LF_x_itgr,0.01840601685362339,negative,-1.9341620397151993,2,1.0,smooth_80_20,linear
22,composite_销售毛利率_TTM_x_m2gr,0.042544466578709035,negative,-1.8830087546209664,2,1.0,smooth_80_20,linear
22,composite_经营活动净收益_利润总额_TTM_x_ep,0.10238035831519238,negative,-1.6506406697466294,2,1.0,smooth_80_20,linear
22,composite_总资产报酬率_TTM_x_infl,0.02900887164377969,positive,1.5083915572520885,2,1.0,smooth_80_20,linear
23,composite_净资产收益率_TTM_x_ntis,0.014756270841381217,negative,-2.95059138302895,4,1.0,smooth_80_20,linear
23,composite_市净率PB_LF_x_ntis,0.11021443611700431,negative,-2.31568677059292,4,1.0,smooth_80_20,linear
23,composite_净资产收益率_TTM_x_m2gr,0.014756270841381217,negative,-3.095290292114056,3,1.0,smooth_80_20,linear
23,composite_流通市值_x_bm,0.18416652652618828,negative,-2.245914970607303,3,1.0,smooth_80_20,linear
23,composite_流通市值_x_mtr,0.18416652652618862,positive,2.023333030618362,3,1.0,smooth_80_20,linear
23,composite_销售毛利率_TTM_x_dp,0.024209409240907455,negative,-1.9359878601745375,3,1.0,smooth_80_20,linear
23,composite_销售净利率_TTM_x_m2gr,0.014806597439524727,negative,-1.6233179432073557,3,1.0,smooth_80_20,linear
23,composite_流通市值_x_itgr,0.02054806144194541,negative,-0.38837900914978163,3,0.6666666666666667,smooth_80_20,linear
23,composite_总市值_证监会算法_x_bm,0.18392484749534155,negative,-3.1261041444547386,2,1.0,smooth_80_20,linear
23,composite_净资产收益率_TTM_x_bm,0.014756270841380897,negative,-2.841365875454727,2,1.0,smooth_80_20,linear
23,composite_净资产收益率_TTM_x_svar,0.014756270841380897,negative,-2.7769358100611052,2,1.0,smooth_80_20,linear
23,composite_流通市值_x_infl,0.011111111111111271,positive,2.438700098948302,2,1.0,smooth_80_20,linear
23,composite_净资产收益率_TTM_x_itgr,0.014756270841381057,positive,2.346812980538829,2,1.0,smooth_80_20,linear
23,composite_市净率PB_LF_x_svar,0.01747817930631653,positive,2.0783772093134347,2,1.0,smooth_80_20,linear
23,composite_市净率PB_LF_x_itgr,0.01747817930631685,negative,-1.9341620397151993,2,1.0,smooth_80_20,linear
23,composite_销售毛利率_TTM_x_m2gr,0.043190038894626644,negative,-1.8830087546209664,2,1.0,smooth_80_20,linear
23,composite_经营活动净收益_利润总额_TTM_x_ep,0.10381362127651182,negative,-1.6506406697466294,2,1.0,smooth_80_20,linear
23,composite_总资产报酬率_TTM_x_infl,0.011111111111111271,positive,1.5083915572520885,2,1.0,smooth_80_20,linear
24,composite_净资产收益率_TTM_x_ntis,0.013233478803857862,negative,-2.7580312250272625,5,1.0,smooth_80_20,linear
24,composite_市净率PB_LF_x_ntis,0.08017235136704176,negative,-2.31568677059292,4,1.0,smooth_80_20,linear
24,composite_净资产收益率_TTM_x_m2gr,0.013233478803857987,negative,-3.095290292114056,3,1.0,smooth_80_20,linear
24,composite_流通市值_x_bm,0.13644118034177882,negative,-2.245914970607303,3,1.0,smooth_80_20,linear
24,composite_市净率PB_LF_x_svar,0.015095715740623347,positive,2.217783048271824,3,1.0,smooth_80_20,linear
24,composite_流通市值_x_mtr,0.1364411803417787,positive,2.023333030618362,3,1.0,smooth_80_20,linear
24,composite_销售毛利率_TTM_x_dp,0.03563584165063608,negative,-1.9359878601745375,3,1.0,smooth_80_20,linear
24,composite_销售净利率_TTM_x_m2gr,0.012630491587974536,negative,-1.6233179432073557,3,1.0,smooth_80_20,linear
24,composite_流通市值_x_itgr,0.01827897729689246,negative,-0.38837900914978163,3,0.6666666666666667,smooth_80_20,linear
24,composite_净资产收益率_TTM_x_itgr,0.013233478803858237,positive,0.576951522955586,3,0.6666666666666666,smooth_80_20,linear
24,composite_总市值_证监会算法_x_bm,0.1362453837982444,negative,-3.1261041444547386,2,1.0,smooth_80_20,linear
24,composite_净资产收益率_TTM_x_bm,0.013233478803857987,negative,-2.841365875454727,2,1.0,smooth_80_20,linear
24,composite_净资产收益率_TTM_x_svar,0.013233478803858237,negative,-2.7769358100611052,2,1.0,smooth_80_20,linear
24,composite_流通市值_x_infl,0.1364411803417787,positive,2.438700098948302,2,1.0,smooth_80_20,linear
24,composite_市净率PB_LF_x_itgr,0.015095715740623097,negative,-1.9341620397151993,2,1.0,smooth_80_20,linear
24,composite_市净率PB_LF_x_m2gr,0.08017235136704176,negative,-1.9008348634261818,2,1.0,smooth_80_20,linear
24,composite_销售毛利率_TTM_x_m2gr,0.03563584165063608,negative,-1.8830087546209664,2,1.0,smooth_80_20,linear
24,composite_经营活动净收益_利润总额_TTM_x_ep,0.08121846426444007,negative,-1.6506406697466294,2,1.0,smooth_80_20,linear
24,composite_总资产报酬率_TTM_x_infl,0.014327930491219878,positive,1.5083915572520885,2,1.0,smooth_80_20,linear
25,composite_净资产收益率_TTM_x_ntis,0.014872026916718163,negative,-2.730023959472092,6,1.0,smooth_80_20,linear
25,composite_市净率PB_LF_x_svar,0.11590061645069412,positive,2.386229031425849,4,1.0,smooth_80_20,linear
25,composite_市净率PB_LF_x_ntis,0.11590061645069412,negative,-2.31568677059292,4,1.0,smooth_80_20,linear
25,composite_净资产收益率_TTM_x_m2gr,0.03867057418715032,negative,-3.095290292114056,3,1.0,smooth_80_20,linear
25,composite_流通市值_x_bm,0.019342901403383725,negative,-2.245914970607303,3,1.0,smooth_80_20,linear
25,composite_流通市值_x_mtr,0.19829719730848766,positive,2.023333030618362,3,1.0,smooth_80_20,linear
25,composite_销售毛利率_TTM_x_dp,0.04836066490495994,negative,-1.9359878601745375,3,1.0,smooth_80_20,linear
25,composite_销售净利率_TTM_x_m2gr,0.03404639432932046,negative,-1.6233179432073557,3,1.0,smooth_80_20,linear
25,composite_总市值_证监会算法_x_bm,0.01935245891954951,negative,-0.8900297100829421,3,0.6666666666666667,smooth_80_20,linear
25,composite_流通市值_x_itgr,0.019342901403383725,negative,-0.38837900914978163,3,0.6666666666666667,smooth_80_20,linear
25,composite_净资产收益率_TTM_x_itgr,0.01487202691671852,positive,0.576951522955586,3,0.6666666666666666,smooth_80_20,linear
25,composite_净资产收益率_TTM_x_bm,0.03867057418715032,negative,-2.841365875454727,2,1.0,smooth_80_20,linear
25,composite_净资产收益率_TTM_x_svar,0.03867057418715032,negative,-2.7769358100611052,2,1.0,smooth_80_20,linear
25,composite_流通市值_x_infl,0.19829719730848766,positive,2.438700098948302,2,1.0,smooth_80_20,linear
25,composite_市净率PB_LF_x_itgr,0.015404053231148346,negative,-1.9341620397151993,2,1.0,smooth_80_20,linear
25,composite_市净率PB_LF_x_m2gr,0.015404053231148346,negative,-1.9008348634261818,2,1.0,smooth_80_20,linear
25,composite_销售毛利率_TTM_x_m2gr,0.025069429925663526,negative,-1.8830087546209664,2,1.0,smooth_80_20,linear
25,composite_经营活动净收益_利润总额_TTM_x_ep,0.0129834581690453,negative,-1.6506406697466294,2,1.0,smooth_80_20,linear
