experiment_id,quarter_idx,rolling_window_start,rolling_window_end,step,selected_feature,coefficient,residual_correlation,train_r2,train_rankic,marginal_improvement,stable_core_restricted
rb_003,13,1,12,1,composite_净资产收益率_TTM_x_bm,-3.126998461258084,0.0861624019582948,0.00742395744890767,0.10670775679906049,0.007423957448907615,False
rb_003,13,1,12,2,composite_流通市值_x_itgr,2.6758520407409367,0.0735716886699843,0.01282863808037693,0.13384422706196733,0.005445104858241724,False
rb_003,13,1,12,3,composite_市净率PB_LF_x_ntis,-2.563834963538246,0.07035211869977019,0.017766748552749734,0.16088808979915903,0.005002282949912854,False
rb_003,13,1,12,4,composite_销售毛利率_TTM_x_dp,-2.2226729649540973,0.06164224469130173,0.021508220844177806,0.17867845288392822,0.0038091484745759693,False
rb_003,13,1,12,5,composite_净资产收益率_TTM_x_itgr,2.188283492820541,0.04912705540194919,0.02443918121883326,0.18489126239730488,0.0029953857938225673,False
rb_003,14,2,13,1,composite_净资产收益率_TTM_x_bm,-2.5557332896513696,0.07196252973994435,0.0051786042472108385,0.09063927383068211,0.00517860424721085,False
rb_003,14,2,13,2,composite_市净率PB_LF_x_ntis,-2.5423743534948806,0.07125098320184821,0.010266570374991568,0.13032895366489075,0.005114451849852507,False
rb_003,14,2,13,3,composite_净资产收益率_TTM_x_itgr,2.5053424682571173,0.06936345732891956,0.015137258804156284,0.1468017376490169,0.0049212124026265566,False
rb_003,14,2,13,4,composite_净资产收益率_TTM_x_dp,-2.3398322844623065,0.0662947458762629,0.01947299889003684,0.15858213754862457,0.004402380052083196,False
rb_003,14,2,13,5,composite_流通市值_x_mtr,1.609438743112155,0.044237819951951016,0.02145776289560375,0.1613483672085709,0.0020241808775486856,False
rb_003,15,3,14,1,composite_总市值_证监会算法_x_bm,-2.8693070113490795,0.08075221137736228,0.00652091782888653,0.10303405569306143,0.006520917828886516,False
rb_003,15,3,14,2,composite_市净率PB_LF_x_ntis,-2.037292071754412,0.05746276013048034,0.009805031414451437,0.12364217576020746,0.003305669585300161,False
rb_003,15,3,14,3,composite_总资产报酬率_TTM_x_svar,-1.8607133807620095,0.05016598628037977,0.012418320027132279,0.1446713023490144,0.002639165715428459,False
rb_003,15,3,14,4,composite_流通市值_x_mtr,1.8996249313543523,0.05161712670141494,0.015159688169307683,0.15392022529756297,0.0027758394042412724,False
rb_003,15,3,14,5,composite_销售净利率_TTM_x_m2gr,-1.8179035837255624,0.04993048925618389,0.01769728039308316,0.16404296052802744,0.0025766534871611694,False
rb_003,16,4,15,1,composite_总市值_证监会算法_x_bm,-3.3829012775603973,0.09433152140369759,0.008898433453675247,0.1186140882928895,0.008898433453675263,False
rb_003,16,4,15,2,composite_净资产收益率_TTM_x_svar,-2.738061066069196,0.07570470416594183,0.014651712502492198,0.15365159756304253,0.005804933866531286,False
rb_003,16,4,15,3,composite_市净率PB_LF_x_ntis,-2.119245693584141,0.0587491647915659,0.018099048010169594,0.16536901768219958,0.0034985959293972677,False
rb_003,16,4,15,4,composite_总资产报酬率_TTM_x_infl,1.466656679089834,0.03683556655496779,0.01959314905073939,0.16848033653975725,0.0015216412995038126,False
rb_003,16,4,15,5,composite_销售净利率_TTM_x_m2gr,-1.3786319328936822,0.03652038337357394,0.020984750189941503,0.17345910064294903,0.0014194118878858683,False
rb_003,17,5,16,1,composite_流通市值_x_bm,-3.066535022526963,0.08375225411489416,0.0070144381153696145,0.10529012399666207,0.007014438115369591,False
rb_003,17,5,16,2,composite_净资产收益率_TTM_x_svar,-2.8158105540530145,0.07696319078470618,0.012914161369792176,0.1450594874494215,0.005941398828826105,False
rb_003,17,5,16,3,composite_市净率PB_LF_x_itgr,-1.7659697576881517,0.04832421785803529,0.0152313162359633,0.1506453026970913,0.002347470478744504,False
rb_003,17,5,16,4,composite_总资产报酬率_TTM_x_infl,1.550126435414343,0.040932907525486964,0.016952210050592664,0.15427895312221973,0.001747510702768881,False
rb_003,17,5,16,5,composite_销售净利率_TTM_x_m2gr,-1.6734183130028224,0.04074288198830228,0.01880040621713186,0.16319218821639436,0.0018800674651171675,False
rb_003,18,6,17,1,composite_净资产收益率_TTM_x_m2gr,-3.345892145205356,0.0890493271180931,0.007929780460562363,0.11156720406146023,0.007929780460562405,False
rb_003,18,6,17,2,composite_净资产收益率_TTM_x_ep,-2.9834497008618484,0.05978198720458609,0.012662704214583043,0.11828081454497895,0.004770754792153564,False
rb_003,18,6,17,3,composite_市净率PB_LF_x_itgr,-2.102354321742247,0.056135514884274255,0.015781860880591525,0.12314606901975837,0.003159160176894993,False
rb_003,18,6,17,4,composite_流通市值_x_bm,-2.165666492009681,0.054970286177419,0.01892125167160763,0.15156185768780991,0.003189730676804016,False
rb_003,18,6,17,5,composite_流通市值_x_ntis,-2.0385388258746913,0.0388792438895738,0.021012287352298542,0.15810837762687507,0.0021313637506201154,False
rb_003,19,7,18,1,composite_净资产收益率_TTM_x_m2gr,-3.3993418780087983,0.08715602256884938,0.007596170163204352,0.10963594729627747,0.007596170163204344,False
rb_003,19,7,18,2,composite_流通市值_x_mtr,2.5609354173885785,0.06219648398422444,0.011662926005787555,0.1203555681078784,0.004097884067267269,False
rb_003,19,7,18,3,composite_市净率PB_LF_x_infl,1.8137995233836302,0.04654182258765516,0.01380394859801548,0.12885588748317836,0.002166287847095827,False
rb_003,19,7,18,4,composite_经营活动净收益_利润总额_TTM_x_ep,-1.722753106029158,0.04246819479075765,0.01566280994678304,0.13314634814374787,0.0018848801372961866,False
rb_003,19,7,18,5,composite_流通市值_x_bm,-1.5055433972852648,0.03723031275635934,0.01708553740547525,0.1472294475910234,0.0014453659508844748,False
rb_003,20,8,19,1,composite_净资产收益率_TTM_x_m2gr,-2.5406368531280137,0.06278164917523409,0.003941534380045186,0.0800749652665666,0.003941534380045178,False
rb_003,20,8,19,2,composite_流通市值_x_infl,2.5266713279926782,0.062406828641854796,0.007822042806067686,0.10487049783386862,0.0038958641083455324,False
rb_003,20,8,19,3,composite_净资产收益率_TTM_x_ntis,-2.121153933910344,0.048535888524390745,0.010355894127381915,0.1242316867658314,0.0025538274690968155,False
rb_003,20,8,19,4,composite_销售毛利率_TTM_x_dp,-1.9239987493207014,0.04694017689144136,0.012574762671694995,0.13818337129303138,0.002242087363675705,False
rb_003,20,8,19,5,composite_经营活动净收益_利润总额_TTM_x_ep,-1.5785282334641009,0.0380595408483856,0.014045986217806727,0.1361961928638005,0.0014899594323641168,False
rb_003,21,9,20,1,composite_净资产收益率_TTM_x_ntis,-2.934815642343267,0.07159663194240858,0.005126076283563652,0.08858468930795485,0.0051260762835636,False
