split,strategy,score_col,topk,buffer_rule,average_period_return,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,alpha,beta,max_drawdown,win_rate,average_turnover,average_holding_count,mean_quarterly_alpha,alpha_t_stat,information_ratio,tracking_error,excess_win_rate,alpha_stability_score
all,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,6.132429346585839,1.6369647850851323,0.24044850500560822,0.2314956809616004,1.0386738275496936,0.10538666303661412,1.1325572131525676,-0.15873184395464213,0.7222222222222222,0.702777777777778,20.0,0.030440531214817917,1.6312659274487737,0.38449306640586356,0.07917055956136664,0.5555555555555556,0.21360725911436865
test,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,-0.16102625397517248,-0.029215316701954763,-0.023441347167895588,0.20215532027958183,-0.1159571122613844,-0.03725801224314203,1.4485366521090577,-0.037729514777176454,0.6,0.5100000000000001,20.0,-0.006928899461928643,-0.3464680443617408,-0.15494521984485302,0.04471838156005436,0.6,-0.0929671319069118
train,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,3.971290640875201,0.3760772473505303,0.15244187000569753,0.18354662740979516,0.830534846414521,0.003204812361353171,1.0332757248301645,-0.02460897325840128,0.6666666666666666,0.7388888888888892,20.0,0.002054319854026287,0.11569715666184426,0.03856571888728142,0.05326802956871059,0.3333333333333333,0.012855239629093806
valid,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer,18.861810935136038,0.9739611476614378,0.9739611476614378,0.20229001953774256,4.814677213868772,0.6054344297355162,0.782815037543295,0.0,1.0,0.8625000000000004,20.0,0.14102129512253225,4.333132628465565,2.1665663142327825,0.06508976632569415,1.0,2.1665663142327825
