split,original_rankic,robust_rankic,original_annualized_return,robust_annualized_return,original_alpha,robust_alpha,original_sharpe,robust_sharpe,original_information_ratio,robust_information_ratio,original_max_drawdown,robust_max_drawdown,original_turnover,robust_turnover,original_excess_win_rate,robust_excess_win_rate
valid,0.1371290048473518,0.17946587218149754,0.8667776258507391,0.9739611476614378,0.5347641670673029,0.6054344297355162,4.468827471699051,4.814677213868772,,2.1665663142327825,0.0,0.0,0.9375000000000004,0.8625000000000004,,1.0
test,0.064884644319539,0.032295093828838065,0.0149774931282504,-0.0234413471678955,0.0043485376430544,-0.037258012243142,0.1067908775828568,-0.1159571122613844,,-0.154945219844853,-0.0707968820198481,-0.0377295147771764,0.8100000000000003,0.5100000000000001,,0.6
