split,rating,avg_future_return,median_future_return,return_std,stock_count,positive_rate,rating_order
test,AAA,0.08555239958483918,0.2861186441371345,14.2478794987627,550,0.5145454545454545,0
test,AA+,0.9633195043272155,0.761618212136594,15.454099980242159,550,0.5309090909090909,1
test,AA,0.7099276011815897,-0.0770190486365618,14.858443718915725,545,0.4917431192660551,2
test,AA-,0.9545572677936014,-0.5468612326952005,16.255278085125223,550,0.4781818181818182,3
test,A+,0.27039991058381546,-1.46756963360084,16.02023682820612,545,0.46788990825688076,4
test,A,1.2546482228055404,-0.981739264433947,20.809134662251623,550,0.4672727272727273,5
test,A-,-0.0428496929937395,-1.4977973568282,15.49147696389999,545,0.45688073394495415,6
test,BBB+,1.0482198540938883,-1.702499121409915,24.60975784472536,550,0.44181818181818183,7
test,BBB,-0.41995801247996933,-1.61290322580646,16.067246663892437,545,0.45137614678899085,8
test,BBB-,0.8786917083863344,-1.46829428486396,16.682633118929914,550,0.4618181818181818,9
test,BB+,1.2708185130074203,-0.520833333333315,20.733127431467338,545,0.47706422018348627,10
test,BB,0.739651695876837,-2.2532214781326347,19.542113398999007,550,0.4309090909090909,11
test,B,-0.8189490908359508,-2.73972602739727,17.417740866950872,545,0.41100917431192663,12
train,AAA,2.3287856672590888,-1.63689545840219,23.778267593183962,990,0.44242424242424244,0
train,AA+,1.8318006765063641,-1.7120723272427951,20.830186791940914,990,0.4393939393939394,1
train,AA,3.0626714368069887,-1.71232876712328,23.546296729418266,981,0.4536187563710499,2
train,AA-,2.9305990287241905,-1.525553900577175,24.189147454726065,990,0.4505050505050505,3
train,A+,2.8842919990315665,-1.3745704467354,22.674987121096652,981,0.44648318042813456,4
train,A,3.9436854752888526,-1.5027786969495498,25.03631454102702,990,0.45656565656565656,5
train,A-,4.25731736954221,-0.755429650613781,23.406327996083807,981,0.4780835881753313,6
train,BBB+,3.575659831811524,-0.8910177978553815,21.919506391060356,990,0.47878787878787876,7
train,BBB,5.736464364117932,0.43103448275863,23.156378005947502,981,0.5045871559633027,8
train,BBB-,4.669538111885513,0.13345384566402202,21.045701836562223,990,0.502020202020202,9
train,BB+,4.940184285716827,1.16489105182007,24.268188477926905,981,0.5290519877675841,10
train,BB,4.810151884342801,0.8619410892138245,23.520957937184903,990,0.5292929292929293,11
train,B,4.005845325086548,-0.101936799184499,21.77233720986738,981,0.49337410805300713,12
valid,AAA,11.38561157773321,5.96507387278589,26.54342332951978,440,0.6477272727272727,0
valid,AA+,8.973261832122391,5.212462948122555,27.830351634957857,440,0.6090909090909091,1
valid,AA,6.89856410448291,2.804023370250375,23.635640028691277,436,0.5756880733944955,2
valid,AA-,8.6294659914523,4.644001851623971,23.89677036522614,440,0.5863636363636363,3
valid,A+,5.923720817021576,0.4299096687855445,29.13627640043803,436,0.5091743119266054,4
valid,A,3.581629698226619,-0.466679208997034,22.450837631465763,440,0.49318181818181817,5
valid,A-,3.2433551437938033,-0.47902851226952503,25.994614097279058,436,0.4908256880733945,6
valid,BBB+,2.3417741926162763,-0.8845748673567245,24.27210701710582,440,0.475,7
valid,BBB,2.555765567296554,-1.07935731560089,24.8253121625509,436,0.4724770642201835,8
valid,BBB-,0.5829629223829534,-1.37591797673337,22.380076936721885,440,0.45454545454545453,9
valid,BB+,2.8488275707894823,-2.534287832913535,39.248522643954146,436,0.4541284403669725,10
valid,BB,3.2746181682144435,-0.8696013329507815,35.7560582160519,440,0.4818181818181818,11
valid,B,1.586286650586546,-1.992776963125035,30.768915527841813,436,0.44724770642201833,12
