quarter_idx,stock_id,stock_name,promethee_phi_plus,promethee_phi_minus,promethee_net_flow,promethee_rank,preference_function
13,000008.SZ,神州高铁,0.1671802321811617,0.09712502145231612,0.07005521072884559,399.0,linear
13,000012.SZ,南玻A,0.0503501751157635,0.13599118426808038,-0.08564100915231687,946.0,linear
13,000016.SZ,深康佳A,0.022168173682321497,0.21786958515208132,-0.19570141146975983,1343.0,linear
13,000017.SZ,深中华A,0.596437326261557,0.12252131387911458,0.4739160123824424,18.0,linear
13,000020.SZ,深华发A,0.4323611923137128,0.12755683264564055,0.30480435966807223,75.0,linear
13,000021.SZ,深科技,0.015759234667449416,0.21545117553129234,-0.19969194086384293,1352.0,linear
13,000030.SZ,富奥股份,0.016904251429642,0.2002985399732621,-0.1833942885436201,1317.0,linear
13,000039.SZ,中集集团,0.019419204154090968,0.19963868807416937,-0.18021948392007842,1307.0,linear
13,000045.SZ,深纺织A,0.047889007210949144,0.19517292420265087,-0.14728391699170174,1203.0,linear
13,000048.SZ,京基智农,0.4383655656847242,0.2966615129444151,0.14170405274030906,231.0,linear
13,000049.SZ,德赛电池,0.09499585372962674,0.2568360926751918,-0.16184023894556507,1254.0,linear
13,000050.SZ,深天马A,0.030153924948708506,0.22185847318085125,-0.19170454823214275,1338.0,linear
13,000055.SZ,方大集团,0.028906800251773022,0.3908814779621741,-0.3619746777104011,1417.0,linear
13,000059.SZ,华锦股份,0.02484524626736833,0.20233783975864067,-0.17749259349127233,1300.0,linear
13,000060.SZ,中金岭南,0.017853487102522384,0.19164277169751423,-0.17378928459499185,1291.0,linear
13,000063.SZ,中兴通讯,0.2989643078200393,0.11462562103611358,0.18433868678392573,186.0,linear
13,000066.SZ,中国长城,0.16887261241558588,0.16115500662261473,0.0077176057929711495,574.0,linear
13,000070.SZ,ST特信,0.09912639756726072,0.13709209032275876,-0.03796569275549805,744.0,linear
13,000100.SZ,TCL科技,0.019309052627776845,0.22197870879221746,-0.2026696561644406,1355.0,linear
13,000153.SZ,丰原药业,0.1366457210597834,0.10524416880920952,0.03140155225057388,489.0,linear
13,000157.SZ,中联重科,0.06641924873284497,0.18750529892856058,-0.12108605019571561,1104.0,linear
13,000301.SZ,东方盛虹,0.016665779154201178,0.19837786018674552,-0.18171208103254435,1313.0,linear
13,000333.SZ,美的集团,0.11638031545019462,0.2545993389230546,-0.13821902347285997,1174.0,linear
13,000338.SZ,潍柴动力,0.027814752996378908,0.2774054650090681,-0.24959071201268918,1404.0,linear
13,000400.SZ,许继电气,0.039780714181419756,0.1689266087655271,-0.12914589458410733,1133.0,linear
13,000401.SZ,冀东水泥,0.07444096541413112,0.1590660032070344,-0.08462503779290328,941.0,linear
13,000403.SZ,派林生物,0.565186153883677,0.05673280886745549,0.5084533450162215,13.0,linear
13,000404.SZ,长虹华意,0.03628983024660791,0.2075786833131643,-0.1712888530665564,1283.0,linear
13,000408.SZ,藏格矿业,0.21094409764026628,0.09156744541845334,0.11937665222181294,275.0,linear
13,000410.SZ,沈阳机床,0.40733896316869844,0.09414013330039941,0.31319882986829906,72.0,linear
13,000413.SZ,ST旭电,0.02747091686519584,0.21904222289438346,-0.19157130602918762,1336.0,linear
13,000420.SZ,吉林化纤,0.03889315174059974,0.14299623593265945,-0.10410308419205971,1027.0,linear
13,000422.SZ,湖北宜化,0.42575395444544195,0.3416034908304255,0.08415046361501644,374.0,linear
13,000423.SZ,东阿阿胶,0.18789945333829078,0.14252964190061218,0.0453698114376786,452.0,linear
13,000425.SZ,徐工机械,0.02058058297595932,0.2197850600986611,-0.19920447712270178,1350.0,linear
13,000488.SZ,晨鸣纸业,0.06933475781655819,0.1494426076022692,-0.08010784978571102,926.0,linear
13,000505.SZ,京粮控股,0.021268657815739802,0.19577013557463968,-0.17450147775889988,1293.0,linear
13,000510.SZ,新金路,0.057930442351962756,0.1433975675119585,-0.08546712515999574,945.0,linear
