split,original_alpha,robust_alpha,original_sharpe,robust_sharpe,original_turnover,robust_turnover,robust_information_ratio,robust_excess_win_rate
valid,0.5347641670673029,0.6054344297355162,4.468827471699051,4.814677213868772,0.9375000000000004,0.8625000000000004,2.1665663142327825,1.0
test,0.0043485376430544,-0.037258012243142,0.1067908775828568,-0.1159571122613844,0.8100000000000003,0.5100000000000001,-0.154945219844853,0.6
all,0.0833790972177462,0.1053866630366141,0.9903919897470018,1.0386738275496936,0.8250000000000004,0.702777777777778,0.3844930664058635,0.5555555555555556
