column,missing_rate_before,missing_rate_after,q01_before,q01_after,q50_before,q50_after,q99_before,q99_after,skew_before,skew_after,kurtosis_before,kurtosis_after,negative_rate_before,negative_rate_after
净资产收益率(TTM),0.0049157303370786515,0.0,-98.425739,-4.643327039428058,5.81335,0.012503704609578364,39.48755799999994,1.2709917392246755,-137.1909124366359,-1.5916944683273753,20675.60674210157,1.7921736150437675,0.16316160903316868,0.4922050561797753
总资产报酬率(TTM),0.0004447565543071161,0.0,-29.3396,-5.009566129425223,4.6048,-0.016312735239988524,26.0874,1.4964960620739138,-51.490351030833544,-1.6488944048121215,3490.0704049291903,2.2652763247200505,0.13868527669141237,0.5083567415730337
销售净利率(TTM),0.0004213483146067416,0.0,-110.632652,-4.305715163088784,5.6053999999999995,-0.013371435781387985,45.11688899999987,1.2137506396468838,-77.84497224330708,-1.5069361551739324,7760.606831516357,1.5542957580891197,0.1699920378436607,0.5079588014981273
销售毛利率(TTM),0.0004213483146067416,0.0,-2.080688,-4.772871019899673,23.567999999999998,-0.040176472046515636,80.42796299999992,1.468796924882869,1.1439891154961572,-2.193407807659054,77.88504975653213,10.04141617185233,0.01309072174605405,0.5231039325842697
经营活动净收益/利润总额(TTM),0.16432584269662923,0.0,-826.8666890000001,-21.59865930869864,79.6753,0.012357514311635065,133.38724200000007,0.8924489740456142,-111.20346007556033,-2.615549478034283,15733.640746947534,5.325729609266482,0.12481792717086834,0.4526217228464419
营业外收支净额/利润总额(TTM),0.16748595505617977,0.0,-62.259908,-1.6008227541061915,0.3171,-0.04338992388586238,229.43791600000068,1.7414480699038202,76.69855039092249,0.20893492982014644,7419.9127143423575,0.22608952708201802,0.4382679600731056,0.5202247191011236
营业利润/利润总额(TTM),0.0,0.0,-134.145125,-99.4873325888867,99.71455,0.05100044304387807,254.3573369999999,8.518266021851122,165.59306789068532,-6.024885535776723,32044.6004399,36.49270428965091,0.024250936329588014,0.44286048689138574
利润总额/营业收入(TTM),9.363295880149813e-05,0.0,-110.513635,-4.4511629890330155,6.59065,-0.02186835547772481,52.70062499999989,1.234419461724922,-145.0743517875578,-1.531069872141756,21204.18913280036,1.6069863459871656,0.16406030527202922,0.5118679775280899
经营活动产生的现金流量净额/营业收入(TTM),0.0004213483146067416,0.0,-45.039675,-3.4294771206676136,8.270900000000001,-0.008868413139859827,51.10443799999991,0.9547767748597861,116.95189906822345,-1.2946623839907405,21147.58878348663,0.6465734830705459,0.1885157603859304,0.5052434456928839
经营活动产生的现金流量净额/营业利润(TTM),0.0,0.0,-2131.925292,-2.93646511039892,83.18195,-0.0032160220404577706,2371.0954279999837,0.773944003890384,161.83261984005108,-1.1266270789452104,31049.181139903976,-0.2778748623459859,0.24496722846441948,0.5055243445692884
营业收入(1年，增长率),0.0523876404494382,0.0,-58.851306639991655,-1.422208311914808,11.341413144628849,0.0011339005235375716,211.4413046632256,0.5979619430912928,201.20098699050635,-0.7131772811902399,40481.89136295084,-0.9560567607262906,0.3035670174398498,0.49894662921348315
营业利润(1年，增长率),0.05231741573033708,0.0,-1150.3775816067396,-1.2853700276760487,9.87195367205789,-0.013451377813402892,1664.878706517823,0.6372240258629399,109.4221378087302,-0.2850277605324032,14704.035424963711,-1.4293743166145794,0.4294677040879338,0.5131320224719101
利润总额(1年，增长率),0.05227059925093633,0.0,-1155.8221685169196,-1.3307168059915535,10.9688408008808,-0.003493860735901416,1631.6398754587544,0.6386036948228447,49.996357295430805,-0.35800942068679303,4796.416694922149,-1.3552116645950905,0.4084767950206239,0.5143258426966292
净资产收益率(1年，增长率),0.07991573033707865,0.0,-1359.305398777125,-0.819679309814307,-3.030677100843965,-0.01211149414452378,1281.7902409128671,1.159188117978681,7.887504545330266,0.16159541140046144,1992.084502809584,-1.3956956838462387,0.526052002238844,0.5048220973782771
总资产周转率(TTM),0.0,0.0,0.08541900000000001,-1.4469961502381192,0.5762,0.029388739231571048,2.3452669999999984,2.8771927201934724,3.279549537721644,0.8497649434336718,25.769405875662553,1.1986975876557309,0.00032771535580524347,0.4832865168539326
总市值(证监会算法),0.0007724719101123596,0.0,1486318604.8,-1.25125397146126,6571378266.15,0.021253883707555953,173051887407.36954,2.6072298629735142,25.019478115809616,0.7931415732317199,915.8316426164937,0.4456560592015588,0.0,0.4895131086142322
流通市值,0.0,0.0,1478236830.84,-1.2484183117548362,6521224708.665,0.020753796658986065,172987528964.86096,2.608130326642399,25.04433049049665,0.794884579273388,917.3022179511262,0.44885112535225247,0.0,0.4889044943820225
市盈率PE(TTM),0.0007724719101123596,0.0,-558.7686474609379,-6.798936308562795,31.0832843780518,-0.0659852457697517,876.7521118164059,2.1473553607703297,-22.674742657575575,-1.5806943223218557,10869.790968611167,1.5162213670680997,0.16471056762011854,0.5384129213483146
市净率PB(LF),0.0007724719101123596,0.0,0.6456093144416811,-1.2193590440637418,2.60419845581055,-0.035530590384821086,23.757201919555662,2.728542000032988,86.54309652461114,1.0447739399974536,8265.890914044083,1.506232094846633,0.005060088551549652,0.5204588014981273
市销率PS(TTM),0.0007724719101123596,0.0,0.24390870302915574,-1.1139526417922176,2.62312412261963,-0.04463745117700831,36.57470413208004,2.1916660541357733,-34.80472569828217,0.8026299921091291,6912.889064964998,0.5476723829179133,0.0003513950383020592,0.5235720973782771
市现率PCF(经营性现金流TTM),0.0,0.0,-847.1759710693359,-5.064542287063025,18.5923881530762,-0.017473454374089016,867.3161578369098,1.9100381308550405,-51.96412438052487,-1.3087073828979932,17267.8714008485,0.5954096570650891,0.1919943820224719,0.5111423220973783
