experiment_id,preprocessing_method,winsorize_quantile,scaling_method,rolling_window,max_selected_features,selection_objective,refit_method,ridge_alpha,feature_corr_threshold,min_improvement,promethee_top_n,entropy_weight_method,preference_function,min_selected_count,sign_stability_threshold,hybrid_score_name,top_k,train_rankic,valid_rankic,test_rankic,valid_annualized_return,valid_sharpe,valid_alpha,valid_max_drawdown,valid_turnover,test_annualized_return,test_sharpe,test_alpha,test_max_drawdown,test_turnover,rating_separation,selected_as_final,reason,valid_score
sw_009,window_median,0.05,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,20.0,capped_20,linear,4.0,0.65,hybrid_score_30_70,10,-0.0389517192624653,0.1371290048473518,0.064884644319539,0.8888651231186004,9.971367851058233,0.6610439889547136,0.0,1.0000000000000002,-0.1553340911504585,-0.8735762821458203,-0.1761914012511477,-0.0988909197762777,0.9000000000000001,3.0450630929623994,False,,1.8199307221947747
sw_009,window_median,0.05,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,15.0,capped_20,linear,4.0,0.65,hybrid_score_30_70,10,-0.0389517192624653,0.1371290048473518,0.064884644319539,0.8888651231186004,9.971367851058233,0.6610439889547136,0.0,1.0000000000000002,-0.1553340911504585,-0.8735762821458203,-0.1761914012511477,-0.0988909197762777,0.9000000000000001,3.0450630929623994,False,,1.8199307221947747
sw_009,window_median,0.05,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,30.0,capped_20,linear,4.0,0.65,hybrid_score_30_70,10,-0.0389517192624653,0.1371290048473518,0.064884644319539,0.8888651231186004,9.971367851058233,0.6610439889547136,0.0,1.0000000000000002,-0.1553340911504585,-0.8735762821458203,-0.1761914012511477,-0.0988909197762777,0.9000000000000001,3.0450630929623994,False,,1.8199307221947747
sw_009,window_median,0.05,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,10.0,capped_20,linear,4.0,0.65,hybrid_score_30_70,10,-0.0389517192624653,0.1371290048473518,0.064884644319539,0.8888651231186004,9.971367851058233,0.6610439889547136,0.0,1.0000000000000002,-0.1596685195460961,-0.8341787442944469,-0.1787997472305184,-0.1121841864741498,0.9200000000000004,3.027847586237656,False,,1.8197560969364384
sw_009,window_median,0.05,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,30.0,normal,linear,4.0,0.65,hybrid_score_30_70,10,-0.0389517192624653,0.1371290048473518,0.064884644319539,0.94310114917059,8.829536970149258,0.696464036478852,0.0,1.0000000000000002,-0.2233533983078985,-1.0116283955520533,-0.2547273232791609,-0.1130280190261768,0.9600000000000004,3.155106288878348,False,,1.780286411961718
sw_009,window_median,0.05,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,15.0,normal,linear,4.0,0.65,hybrid_score_30_70,10,-0.0389517192624653,0.1371290048473518,0.064884644319539,0.94310114917059,8.829536970149258,0.696464036478852,0.0,1.0000000000000002,-0.2233533983078985,-1.0116283955520533,-0.2547273232791609,-0.1130280190261768,0.9600000000000004,3.155106288878348,False,,1.780286411961718
sw_009,window_median,0.05,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,20.0,normal,linear,4.0,0.65,hybrid_score_30_70,10,-0.0389517192624653,0.1371290048473518,0.064884644319539,0.94310114917059,8.829536970149258,0.696464036478852,0.0,1.0000000000000002,-0.2233533983078985,-1.0116283955520533,-0.2547273232791609,-0.1130280190261768,0.9600000000000004,3.155106288878348,False,,1.780286411961718
sw_009,window_median,0.05,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,10.0,normal,linear,4.0,0.65,hybrid_score_30_70,10,-0.0389517192624653,0.1371290048473518,0.064884644319539,0.9476618537660616,8.728572788485367,0.6993557786917398,0.0,1.0000000000000002,-0.204625722425296,-0.8746617329538542,-0.2308807646868121,-0.1121841864741499,0.9600000000000004,3.046599654296154,False,,1.7752843980274688
sw_009,window_median,0.05,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,10.0,smooth_80_20,linear,4.0,0.65,hybrid_score_30_70,10,-0.0389517192624653,0.1371290048473518,0.064884644319539,0.8289463838645297,5.748715679686256,0.5798642063341012,0.0,1.0000000000000002,-0.1947487094762801,-0.8716463904462833,-0.2195855107929208,-0.1121841864741498,0.9600000000000004,3.226058311022892,False,,1.371210659493992
sw_009,window_median,0.05,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,30.0,smooth_80_20,linear,4.0,0.65,hybrid_score_30_70,10,-0.0389517192624653,0.1371290048473518,0.064884644319539,0.8289463838645297,5.748715679686256,0.5798642063341012,0.0,1.0000000000000002,-0.2140082603730091,-1.102005823886664,-0.2442680010559738,-0.0988909197762776,0.9400000000000002,3.1020534816645653,False,,1.369952818193826
