quarter_idx,split,strategy,score_col,topk,portfolio_return,benchmark_return,excess_return,turnover,holding_count
13,train,pure_stagewise_score_top20,pure_stagewise_score,20,-8.779955543836879,-7.914060610601374,-0.8658949332355048,0.5000000000000001,20
14,train,pure_stagewise_score_top20,pure_stagewise_score,20,-0.30833211508095937,-1.945782629963268,1.6374505148823086,0.6500000000000002,20
15,train,pure_stagewise_score_top20,pure_stagewise_score,20,4.312805122839394,5.373002977571485,-1.060197854732091,0.9500000000000005,20
16,train,pure_stagewise_score_top20,pure_stagewise_score,20,-5.281353541454868,-1.5970844833882765,-3.684269058066591,0.8000000000000004,20
17,train,pure_stagewise_score_top20,pure_stagewise_score,20,3.109600189644519,8.62059914061964,-5.510998950975122,0.7000000000000003,20
18,train,pure_stagewise_score_top20,pure_stagewise_score,20,12.837926360615397,13.312880684614123,-0.47495432399872684,0.9500000000000005,20
19,train,pure_stagewise_score_top20,pure_stagewise_score,20,-2.4613071234823938,4.8096274712707405,-7.270934594753134,0.5000000000000001,20
20,train,pure_stagewise_score_top20,pure_stagewise_score,20,0.8657167649282026,0.0416997801260893,0.8240169848021133,1.0000000000000004,20
21,train,pure_stagewise_score_top20,pure_stagewise_score,20,17.59350752199138,13.191845569003988,4.401661952987393,1.0000000000000004,20
22,valid,pure_stagewise_score_top20,pure_stagewise_score,20,25.72003963988107,9.158055960388827,16.561983679492243,1.0000000000000004,20
23,valid,pure_stagewise_score_top20,pure_stagewise_score,20,25.354175359522095,14.597573182972084,10.756602176550011,0.8000000000000004,20
24,valid,pure_stagewise_score_top20,pure_stagewise_score,20,7.532250604817354,-9.444570757478221,16.976821362295574,0.9500000000000005,20
25,valid,pure_stagewise_score_top20,pure_stagewise_score,20,10.156603837848385,4.7276673056485645,5.42893653219982,1.0000000000000004,20
26,test,pure_stagewise_score_top20,pure_stagewise_score,20,-5.933270533990591,-8.793030026774517,2.859759492783926,1.0000000000000004,20
27,test,pure_stagewise_score_top20,pure_stagewise_score,20,3.4160192191365177,4.427705195647978,-1.0116859765114605,0.7500000000000003,20
28,test,pure_stagewise_score_top20,pure_stagewise_score,20,9.68144154482396,8.714858581934497,0.9665829628894631,0.7500000000000003,20
29,test,pure_stagewise_score_top20,pure_stagewise_score,20,-7.079688201984818,-0.4145420671977687,-6.665146134787049,0.8000000000000004,20
30,test,pure_stagewise_score_top20,pure_stagewise_score,20,2.7549720969053,-1.2756732225217289,4.030645319427029,0.7500000000000003,20
