split,rating,avg_future_return,median_future_return,return_std,stock_count,positive_rate,rating_order
test,AAA,1.1166373205976428,0.6330107552970925,16.71516053236464,550,0.5218181818181818,0
test,AA+,1.2594359884406796,0.7531498777659356,14.143562596473929,550,0.5272727272727272,1
test,AA,2.1657178623258906,0.34246575342467,18.64341082324824,545,0.5082568807339449,2
test,AA-,1.2524341189779913,0.3594487785326115,15.17402181933961,550,0.5145454545454545,3
test,A+,1.6693041573599807,0.134770889487879,15.316458318701072,545,0.5027522935779817,4
test,A,0.2605650162529895,-1.4516944037654351,17.315027600704774,550,0.4381818181818182,5
test,A-,0.29925209188602486,-1.71037628278222,18.636206283009024,545,0.44220183486238535,6
test,BBB+,-1.0729568312475213,-2.807446966325465,17.328660488772794,550,0.4381818181818182,7
test,BBB,1.239684262176645,-1.08695652173912,24.14078398591683,545,0.46055045871559636,8
test,BBB-,-0.800639149202945,-2.7226955555387597,17.489190357797057,550,0.4254545454545455,9
test,BB+,-0.1382471375069719,-1.76678445229682,15.786404435425727,545,0.46238532110091746,10
test,BB,0.1277752676447445,-1.77473322094526,17.32731449207427,550,0.4290909090909091,11
test,B,-0.4502414448929523,-3.32068311195445,20.835875166110327,545,0.41100917431192663,12
train,AAA,2.770594853934474,-1.387738878884935,23.535207741233855,990,0.4393939393939394,0
train,AA+,3.6364178102967415,-1.24926484841914,23.915392213171234,990,0.44646464646464645,1
train,AA,3.028379002186897,-1.85847033595424,24.09986273810786,981,0.44240570846075433,2
train,AA-,3.5873973677350555,-0.586520600142881,23.304441405268122,990,0.47474747474747475,3
train,A+,2.5326940842164865,-1.07334525939176,20.16036870365717,981,0.46992864424057085,4
train,A,4.044689160464453,-0.995814110568205,23.78194729859692,990,0.4707070707070707,5
train,A-,3.0111531593713723,-1.19999999999999,22.00309690655552,981,0.47298674821610603,6
train,BBB+,5.0378848173665025,0.5790704925768835,24.367801601602583,990,0.5171717171717172,7
train,BBB,4.3701640407525195,-1.01010101010101,23.515711904515623,981,0.4801223241590214,8
train,BBB-,3.979847511014455,-0.26507613560697296,21.738081343257832,990,0.4919191919191919,9
train,BB+,3.5946152170938315,-0.242718446601931,21.911761674784838,981,0.4892966360856269,10
train,BB,4.93867312395499,0.250137840240339,23.942217379114723,990,0.5050505050505051,11
train,B,4.408657014439524,0.262467191601057,23.0424818805199,981,0.5035677879714577,12
valid,AAA,10.098464816763842,5.421015079677815,28.36517740230033,440,0.625,0
valid,AA+,8.186577526296045,4.02857104437622,25.36353231993941,440,0.5795454545454546,1
valid,AA,6.864715489192971,2.444295123853135,28.292049794568772,436,0.555045871559633,2
valid,AA-,5.638484719396155,1.272482403541465,24.946215525630098,440,0.5431818181818182,3
valid,A+,6.320952155023774,1.441326089213415,24.699534049825886,436,0.5321100917431193,4
valid,A,5.525868713852982,1.098472876323255,26.514642837518718,440,0.5454545454545454,5
valid,A-,3.795958598059284,0.17064377596650598,23.606984490255403,436,0.5022935779816514,6
valid,BBB+,3.5327678615085385,-0.2268815208683325,25.735333169339093,440,0.4954545454545455,7
valid,BBB,1.1271289658133274,-2.3081518451300598,23.640011358389863,436,0.46559633027522934,8
valid,BBB-,2.0719869914878863,-1.708067285730955,25.8857651809268,440,0.45,9
valid,BB+,2.2440331605853037,-1.69835889874187,27.752348497706357,436,0.44724770642201833,10
valid,BB,3.914507743792652,-1.4851849128740549,44.80863405128727,440,0.47045454545454546,11
valid,B,2.5025687427412593,-0.7142594070345635,27.123169826217833,436,0.48623853211009177,12
