quarter_idx,split,stock_id,stock_name,future_return_1q,score,portfolio_rank,weight,strategy,score_col,topk
13,train,000017.SZ,深中华A,-16.9144981412639,1.0,1,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,600421.SH,华嵘控股,-29.1139240506329,0.9992977528089888,2,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,600234.SH,*ST科新,-9.20398009950247,0.9985955056179775,3,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,002058.SZ,威尔泰,0.807043286867204,0.9978932584269663,4,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,000586.SZ,汇源通信,15.3773584905661,0.9971910112359551,5,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,000518.SZ,四环生物,-12.7139364303179,0.9964887640449438,6,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,300163.SZ,ST先锋,-0.740740740740753,0.9957865168539326,7,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,300173.SZ,福能东方,-15.2631578947368,0.9950842696629213,8,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,300069.SZ,金利华电,28.8163265306122,0.9943820224719101,9,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,002213.SZ,大为股份,-20.7547169811321,0.9936797752808989,10,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,600698.SH,湖南天雁,-15.5963302752294,0.9929775280898876,11,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,000020.SZ,深华发A,-12.64,0.9922752808988764,12,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,002362.SZ,汉王科技,-13.3180252583238,0.9915730337078652,13,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,300397.SZ,天和防务,-14.8614609571788,0.9908707865168539,14,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,002134.SZ,天津普林,-7.21271393643032,0.9901685393258427,15,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,002693.SZ,双成药业,-6.28803245436105,0.9894662921348315,16,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,002231.SZ,奥维通信,0.25031289111388,0.9887640449438202,17,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,000622.SZ,*ST恒立,-17.9216867469879,0.988061797752809,18,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,600817.SH,宇通重工,-4.99999999999999,0.9873595505617978,19,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
13,train,300411.SZ,金盾股份,-23.3069481090589,0.9866573033707865,20,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
14,train,000017.SZ,深中华A,6.71140939597314,1.0,1,0.05,pure_stagewise_score_top20,pure_stagewise_score,20
