experiment_id,quarter_idx,split,rankic,n_stocks,selected_feature_count
sw_009,13,train,-0.04957263116827199,1424,12
sw_009,14,train,-0.1460973030487487,1424,12
sw_009,15,train,-0.07647560780762609,1424,12
sw_009,16,train,0.11300892012029938,1424,12
sw_009,17,train,-0.041440603338685,1424,12
sw_009,18,train,-0.07753134145698207,1424,12
sw_009,19,train,-0.08856291138579205,1424,12
sw_009,20,train,0.09912415909460173,1424,12
sw_009,21,train,-0.08301815437098349,1424,12
sw_009,22,valid,0.12248901691560134,1424,12
sw_009,23,valid,-0.05456277186606329,1424,12
sw_009,24,valid,0.3316736860893608,1424,12
sw_009,25,valid,0.14891608825050834,1424,12
sw_009,26,test,0.02007136936447103,1424,12
sw_009,27,test,-0.05221887800593258,1424,12
sw_009,28,test,0.1133733516537965,1424,12
sw_009,29,test,0.08729161412150052,1424,12
sw_009,30,test,0.15590576446385965,1424,12
