quarter_idx,stock_id,stock_name,promethee_phi_plus,promethee_phi_minus,promethee_net_flow,promethee_rank,preference_function
13,000008.SZ,神州高铁,0.1145849589816275,0.10258837115613563,0.011996587825491872,403.0,linear
13,000012.SZ,南玻A,0.032840980064072024,0.13244994038665092,-0.0996089603225789,1191.0,linear
13,000016.SZ,深康佳A,0.08161358627153582,0.1654106162829679,-0.08379703001143209,1001.0,linear
13,000017.SZ,深中华A,0.6445130343409654,0.08420962836758478,0.5603034059733807,11.0,linear
13,000020.SZ,深华发A,0.23279037383207932,0.09984241924906388,0.13294795458301545,195.0,linear
13,000021.SZ,深科技,0.06508040229915249,0.14925024394763833,-0.08416984164848584,1007.0,linear
13,000030.SZ,富奥股份,0.030342140704851743,0.14423189799649577,-0.11388975729164402,1299.0,linear
13,000039.SZ,中集集团,0.06588700571724099,0.15109986405370315,-0.08521285833646217,1021.0,linear
13,000045.SZ,深纺织A,0.037020839859293345,0.14598842931720507,-0.10896758945791173,1262.0,linear
13,000048.SZ,京基智农,0.15716904381638397,0.17228252586863055,-0.01511348205224658,513.0,linear
13,000049.SZ,德赛电池,0.10066551277856124,0.17470553492670726,-0.07404002214814602,899.0,linear
13,000050.SZ,深天马A,0.14586112125618783,0.14708621317685472,-0.0012250919206668875,451.0,linear
13,000055.SZ,方大集团,0.017339641001402704,0.19938402008203154,-0.18204437908062884,1424.0,linear
13,000059.SZ,华锦股份,0.0671834548745086,0.16268779339262318,-0.09550433851811459,1149.0,linear
13,000060.SZ,中金岭南,0.08357914772089793,0.14066368155256187,-0.05708453383166394,762.0,linear
13,000063.SZ,中兴通讯,0.3184564804653856,0.0968906851428103,0.2215657953225753,116.0,linear
13,000066.SZ,中国长城,0.20406284292014015,0.09517742603858936,0.10888541688155079,232.0,linear
13,000070.SZ,ST特信,0.06240219833961849,0.11962276545813752,-0.05722056711851903,763.0,linear
13,000100.SZ,TCL科技,0.21881152363064513,0.14616970184235703,0.0726418217882881,301.0,linear
13,000153.SZ,丰原药业,0.0827808005325543,0.13854492318226908,-0.05576412264971478,749.0,linear
13,000157.SZ,中联重科,0.13319207532438218,0.1504272288261458,-0.017235153501763606,524.0,linear
13,000301.SZ,东方盛虹,0.14631688952748625,0.12682530774725073,0.019491581780235523,383.0,linear
13,000333.SZ,美的集团,0.2871325711696763,0.13525436095795354,0.15187821021172274,161.0,linear
13,000338.SZ,潍柴动力,0.2387503000266122,0.15686612150040394,0.08188417852620827,283.0,linear
13,000400.SZ,许继电气,0.02629540286849103,0.13699204943278293,-0.1106966465642919,1276.0,linear
13,000401.SZ,冀东水泥,0.10850200114905817,0.13587292346168423,-0.027370922312626056,584.0,linear
13,000403.SZ,派林生物,0.4120451472534154,0.06648131114630891,0.3455638361071065,61.0,linear
13,000404.SZ,长虹华意,0.04110758220112303,0.17242067089134808,-0.13131308869022504,1389.0,linear
13,000408.SZ,藏格矿业,0.29149367959661016,0.09513896517934604,0.1963547144172641,125.0,linear
13,000410.SZ,沈阳机床,0.13608377648057896,0.1458876599126688,-0.00980388343208985,490.0,linear
13,000413.SZ,ST旭电,0.16123150915889167,0.14666373186900317,0.014567777289888506,396.0,linear
13,000420.SZ,吉林化纤,0.01873520751237937,0.13327847643223628,-0.11454326891985692,1303.0,linear
13,000422.SZ,湖北宜化,0.14188025740213359,0.21244681890352965,-0.07056656150139606,857.0,linear
13,000423.SZ,东阿阿胶,0.20847888915703214,0.09164659487138069,0.11683229428565145,219.0,linear
13,000425.SZ,徐工机械,0.18331474123362176,0.14041553885712058,0.04289920237650119,353.0,linear
13,000488.SZ,晨鸣纸业,0.042361626521354084,0.17503664917796988,-0.1326750226566158,1392.0,linear
13,000505.SZ,京粮控股,0.06688901261659044,0.1622893749967614,-0.09540036238017097,1148.0,linear
13,000510.SZ,新金路,0.08176670263724815,0.13314815287840323,-0.05138145024115508,716.0,linear
13,000513.SZ,丽珠集团,0.09195762577208214,0.09685704592948625,-0.004899420157404119,473.0,linear
13,000518.SZ,四环生物,0.5020390326179097,0.0675183243921207,0.43452070822578903,34.0,linear
13,000519.SZ,中兵红箭,0.028817096595595174,0.1284205975408139,-0.09960350094521872,1190.0,linear
13,000521.SZ,长虹美菱,0.06787633671628635,0.1680494909333918,-0.10017315421710546,1198.0,linear
13,000523.SZ,红棉股份,0.07438747823466696,0.1717392630640156,-0.09735178482934864,1170.0,linear
13,000528.SZ,柳工,0.03649161534544144,0.1424498632197523,-0.10595824787431088,1241.0,linear
13,000529.SZ,广弘控股,0.06880133478110104,0.1304193874146125,-0.06161805263351147,800.0,linear
13,000530.SZ,冰山冷热,0.021838624518360356,0.15280402240671231,-0.13096539788835196,1386.0,linear
13,000533.SZ,顺钠股份,0.15797590269623799,0.1744706212642112,-0.016494718567973216,520.0,linear
13,000534.SZ,万泽股份,0.47508632791164485,0.08630396769848318,0.38878236021316165,49.0,linear
13,000536.SZ,华映科技,0.11646358750456146,0.1734453980829699,-0.056981810578408454,761.0,linear
13,000538.SZ,云南白药,0.2975921533764281,0.09390734854493638,0.2036848048314917,121.0,linear
13,000541.SZ,佛山照明,0.025012155680143745,0.12094895914637961,-0.09593680346623587,1152.0,linear
13,000545.SZ,金浦钛业,0.033473833069655234,0.12719992663322913,-0.09372609356357389,1135.0,linear
