experiment_id,quarter_idx,rolling_window_start,rolling_window_end,step,selected_feature,coefficient,residual_correlation,train_r2,train_rankic,marginal_improvement
sw_009,13,1,12,1,composite_净资产收益率_TTM_x_bm,-3.128647444868855,0.0861624019582948,0.007423959511222766,0.10670775679906049,0.007423959511222722
sw_009,13,1,12,2,composite_流通市值_x_itgr,2.677406577338695,0.07357517222318165,0.012828642243062127,0.13384380630371262,0.0054451069856350474
sw_009,13,1,12,3,composite_市净率PB_LF_x_ntis,-2.565456832894616,0.07035869880402604,0.017766755230916087,0.16088827598192604,0.005002285519177156
sw_009,13,1,12,4,composite_销售毛利率_TTM_x_dp,-2.223726652037601,0.06163879471505451,0.02150822811096753,0.1786793592899678,0.003809149099744673
sw_009,13,1,12,5,composite_净资产收益率_TTM_x_itgr,2.189748344745528,0.0491218793698688,0.02443918959167024,0.1848891365237226,0.0029953869464270726
sw_009,13,1,12,6,composite_总市值_证监会算法_x_ntis,-1.9971386165910994,0.04716675544595929,0.02699965182740449,0.18238095942717067,0.0026246054663292256
sw_009,13,1,12,7,composite_流通市值_x_bm,-3.080238637576077,0.04680444290117797,0.03091539605357685,0.19669409394038792,0.004024401670078059
sw_009,13,1,12,8,composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis,1.1681120823022277,0.031245295329266655,0.03190498913487794,0.20229003281289112,0.00102116273158306
sw_009,13,1,12,9,composite_市销率PS_TTM_x_infl,1.3270427974068029,0.031092066474856513,0.03302210974852271,0.208024776990273,0.0011539369598098997
sw_009,13,1,12,10,composite_总资产周转率_TTM_x_infl,2.0714902769324173,0.03614735805201583,0.03504909283129709,0.21232885120077355,0.002096204166826617
sw_009,13,1,12,11,composite_市销率PS_TTM_x_m2gr,-1.3347697931316698,0.03579872945243125,0.03634054528853159,0.21949700426366908,0.0013383607887615663
sw_009,13,1,12,12,composite_总资产周转率_TTM_x_ntis,1.3771596604353518,0.02587530194788133,0.03730355520230011,0.22111741226336804,0.0009993259642296524
sw_009,14,2,13,1,composite_净资产收益率_TTM_x_bm,-2.557081392612307,0.07196252973994435,0.005178605686572246,0.09063927383068211,0.005178605686572264
sw_009,14,2,13,2,composite_市净率PB_LF_x_ntis,-2.543851008185218,0.07125423112996743,0.010266573783547228,0.13032887864806303,0.005114453836697406
sw_009,14,2,13,3,composite_净资产收益率_TTM_x_itgr,2.506945303858886,0.06936960024195545,0.015137264735318068,0.14680136240134278,0.004921214968348085
sw_009,14,2,13,4,composite_净资产收益率_TTM_x_dp,-2.340989870264291,0.06629247402221142,0.01947300569110766,0.1585826201827331,0.004402380961875154
sw_009,14,2,13,5,composite_流通市值_x_mtr,1.6105411546069528,0.04424319035973038,0.02145777095261714,0.16134923336943832,0.0020241821724739134
sw_009,14,2,13,6,composite_流通市值_x_itgr,2.0795968520026613,0.04508865559511889,0.02406761902457144,0.17074244099771294,0.002667077612475661
sw_009,14,2,13,7,composite_市销率PS_TTM_x_m2gr,-1.3792075875870788,0.03916794265689553,0.02556833182391527,0.17961039468604453,0.0015377221092346429
sw_009,14,2,13,8,composite_流通市值_x_dp,-1.5158977103906108,0.03586422170182032,0.027078834881584468,0.1914009040927004,0.0015501374873175277
sw_009,14,2,13,9,composite_流通市值_x_tms,-3.3866019829717957,0.0396985678534031,0.03080740182090791,0.20879191780666823,0.003832342303777167
sw_009,14,2,13,10,composite_流通市值_x_m2gr,1.802503896268818,0.033990104429260225,0.03250500142417634,0.21341638603541718,0.0017515606355824934
sw_009,14,2,13,11,composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis,1.1154843514989317,0.03045385774396948,0.03344560379696404,0.2175090154240293,0.0009722038606631219
sw_009,14,2,13,12,composite_市销率PS_TTM_x_infl,1.3182301932774934,0.030994821933591935,0.03457513153147507,0.2229050103316843,0.0011686126915859763
sw_009,15,3,14,1,composite_总市值_证监会算法_x_bm,-2.870820935718582,0.08075221137736228,0.006520919642334255,0.10303405569306143,0.006520919642334219
sw_009,15,3,14,2,composite_市净率PB_LF_x_ntis,-2.0383174542241824,0.05746129843649391,0.009805033971985955,0.1236419538218939,0.003305670340304912
sw_009,15,3,14,3,composite_总资产报酬率_TTM_x_svar,-1.8616865838726606,0.05016311486396424,0.01241832317761149,0.14467278138983306,0.002639166321061283
sw_009,15,3,14,4,composite_流通市值_x_mtr,1.9008687974049583,0.051621339987545624,0.015159692771515854,0.15392154478358136,0.0027758408830801085
sw_009,15,3,14,5,composite_销售净利率_TTM_x_m2gr,-1.819223417057841,0.049938675349084465,0.01769728675288529,0.16404436658185595,0.0025766552838506268
sw_009,15,3,14,6,composite_净资产收益率_TTM_x_dp,-1.593934561847832,0.04474590180870373,0.01968652973087348,0.17392793036385218,0.0020250814246583915
sw_009,15,3,14,7,composite_销售毛利率_TTM_x_dp,-1.1773930712778657,0.029689589845020865,0.020660289798712927,0.1779050607634703,0.0009933149929808357
sw_009,15,3,14,8,composite_经营活动净收益_利润总额_TTM_x_ep,-0.963770291133799,0.026170456297950333,0.021361855195544677,0.17792356628538908,0.0007163657202131961
sw_009,15,3,14,9,composite_净资产收益率_TTM_x_itgr,1.0347947819872483,0.02399051198121444,0.022052966176494104,0.1766567885438869,0.0007061966515596223
sw_009,15,3,14,10,composite_经营活动产生的现金流量净额_营业收入_TTM_x_svar,-0.8538644052764751,0.0213816535840517,0.022560819852325276,0.17880078099711375,0.0005193059115334544
sw_009,15,3,14,11,composite_市销率PS_TTM_x_ntis,-1.1531450512282528,0.020715523637726625,0.023225091338597292,0.1818097736016784,0.0006796039076023641
sw_009,15,3,14,12,composite_销售毛利率_TTM_x_bm,-1.0925539071930326,0.02337144557673191,0.02393484305867921,0.1834503024523486,0.0007266277151350926
sw_009,16,4,15,1,composite_总市值_证监会算法_x_bm,-3.3846869217927704,0.09433152140369759,0.008898435930336013,0.1186140882928895,0.008898435930336013
sw_009,16,4,15,2,composite_净资产收益率_TTM_x_svar,-2.7393390165025227,0.0756990377334409,0.014651715797915688,0.15365089390868628,0.005804934707151009
sw_009,16,4,15,3,composite_市净率PB_LF_x_ntis,-2.120513372813784,0.05875244234991754,0.018099052729383835,0.16536859902176626,0.0034985973860600355
sw_009,16,4,15,4,composite_总资产报酬率_TTM_x_infl,1.4679508682435884,0.036843986324015754,0.019593155331557366,0.16848102590381106,0.0015216428972053136
sw_009,16,4,15,5,composite_销售净利率_TTM_x_m2gr,-1.3795453294135418,0.03652291616555685,0.020984757140970367,0.17345787378572824,0.001419412580583994
sw_009,16,4,15,6,composite_销售毛利率_TTM_x_bm,-1.342851645315262,0.03314781871086063,0.022212209162405294,0.17847692465428622,0.0012537619106423189
sw_009,16,4,15,7,composite_总市值_证监会算法_x_tms,1.0974628312225823,0.026705430604153712,0.023019693998791557,0.1822208689562764,0.0008258283074844184
sw_009,16,4,15,8,composite_流通市值_x_dp,1.3106411655687484,0.024346604608426636,0.023899139476515563,0.18169836951179602,0.0009001670477100586
sw_009,16,4,15,9,composite_经营活动产生的现金流量净额_营业收入_TTM_x_m2gr,-0.9052084236425754,0.021854441521538148,0.0244443325231245,0.1845525300143509,0.0005585417129092357
sw_009,16,4,15,10,composite_市销率PS_TTM_x_tms,0.7916482574303437,0.019459552017054422,0.024868210422131054,0.1860226927371561,0.0004344989354660178
sw_009,16,4,15,11,composite_总资产周转率_TTM_x_ep,-0.769586884120074,0.019060642302181675,0.025272151879622173,0.18635446317375723,0.0004142429380401611
sw_009,16,4,15,12,composite_总资产周转率_TTM_x_m2gr,-0.851498049358402,0.01758017829071584,0.02568436419209741,0.1873767863966494,0.0004228999030551826
sw_009,17,5,16,1,composite_流通市值_x_bm,-3.06815436270951,0.08375225411489416,0.0070144400693258335,0.10529012399666207,0.0070144400693257876
sw_009,17,5,16,2,composite_净资产收益率_TTM_x_svar,-2.8172152295422954,0.07696071905470735,0.0129141645956522,0.1450594874494215,0.005941400121405868
sw_009,17,5,16,3,composite_市净率PB_LF_x_itgr,-1.7670202647698314,0.04832721002456688,0.0152313204270772,0.15064440403208598,0.002347471464298542
sw_009,17,5,16,4,composite_总资产报酬率_TTM_x_infl,1.551092720358056,0.040935030406734914,0.016952215004766735,0.15427945121829226,0.0017475114850686254
sw_009,17,5,16,5,composite_销售净利率_TTM_x_m2gr,-1.6744025169213486,0.04073970719976983,0.01880041167017288,0.16319192573064428,0.0018800679820616803
sw_009,17,5,16,6,composite_销售毛利率_TTM_x_dp,-1.0903954027095761,0.028787892721337267,0.019649712276763487,0.16705804502317032,0.0008655737494104277
sw_009,17,5,16,7,composite_流通市值_x_mtr,1.1103135584355,0.025047062568903482,0.020401244172538302,0.17124573573473983,0.0007665952723083529
sw_009,17,5,16,8,composite_经营活动净收益_利润总额_TTM_x_bm,-0.9409799005683026,0.024328990995123253,0.021019084276388433,0.17052795020155148,0.0006307073178428624
sw_009,17,5,16,9,composite_销售毛利率_TTM_x_svar,-0.9441037990013488,0.0229634065579567,0.021604601916977773,0.1744885170970025,0.0005980889220465965
sw_009,17,5,16,10,composite_经营活动净收益_利润总额_TTM_x_dp,0.8419092729067127,0.020885635961913767,0.022079127474805782,0.17419852185618268,0.0004850038734418872
sw_009,17,5,16,11,composite_经营活动净收益_利润总额_TTM_x_infl,1.1592632870773767,0.02065094755556578,0.022724626134179804,0.17431287043446783,0.0006600724838884518
