experiment_id,preprocessing_method,winsorize_quantile,scaling_method,rolling_window,max_selected_features,selection_objective,refit_method,ridge_alpha,feature_corr_threshold,min_improvement,promethee_top_n,entropy_weight_method,preference_function,min_selected_count,sign_stability_threshold,hybrid_score_name,top_k,train_rankic,valid_rankic,test_rankic,valid_annualized_return,valid_sharpe,valid_alpha,valid_max_drawdown,valid_turnover,test_annualized_return,test_sharpe,test_alpha,test_max_drawdown,test_turnover,rating_separation,selected_as_final,reason,valid_score
sw_001,window_median,0.01,train_window_zscore,12,12,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0144833746880727,-0.0064334340144705,0.0300662589256538,0.2363636118186227,1.2037425980187235,0.0860363480351604,-0.061533152547812,0.9125000000000004,0.0338397818020999,0.1791934469507117,0.0199421586752751,-0.0827186761675596,0.9300000000000004,,False,,-2.655850502154669
sw_002,window_median,0.01,quarter_zscore,12,12,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0485605774793925,0.0811940258860643,-0.0068148093815833,0.3858711859437234,1.870374731532921,0.2999972433449882,0.0,0.9500000000000004,-0.037073107986831,-0.1955468064241938,-0.0505445564116881,-0.0508876779772915,0.9000000000000006,,False,,-0.5756323494357809
sw_003,window_median,0.01,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0367030974713959,0.1223531876681457,0.0690828038361585,0.5276449708190716,7.299748970279705,0.4087244137905683,0.0,0.9750000000000004,0.0902654078219806,0.7605337371878427,0.074259340452248,0.0,0.8200000000000005,,False,,0.8632962641378631
sw_004,window_median,0.025,train_window_zscore,12,12,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0350988510957894,-0.0047633593278096,0.0673091378410231,0.1778096550009187,1.9901096108226448,0.1069183947303695,-0.0208671712501686,0.8125000000000003,0.0437004479607203,0.2141224557878824,0.0269593582686864,-0.0243069008650965,0.9600000000000004,,False,,-2.5196662582724394
sw_005,window_median,0.025,quarter_zscore,12,12,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0216052220063981,0.0479923354487651,-0.0273478856800596,0.6085277026328506,4.45210392999629,0.3970789433527509,0.0,0.9625000000000004,-0.1289429771741119,-0.7897477601749995,-0.1485152065401473,-0.0722651314958557,0.9600000000000004,,False,,-0.804049599845847
sw_006,window_median,0.025,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0282872559923776,0.1252773848403954,0.0444108650767039,0.6221934913323957,5.713996620948266,0.4328396524117119,0.0,0.9875000000000004,-0.0242166822302326,-0.150122609453263,-0.0372416988381743,-0.0588986738611977,0.8500000000000005,,False,,0.8620987531083045
sw_007,window_median,0.05,train_window_zscore,12,12,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0288942818696461,0.0223439510222881,0.0057188868410739,0.6076831100145805,2.9719719172281813,0.4423232287656063,0.0,0.8750000000000004,0.0101344825333535,0.0505244952304496,-0.0057358499230719,-0.0466536164544136,0.9700000000000004,,False,,-1.3992447802669037
sw_008,window_median,0.05,quarter_zscore,12,12,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0178312479848504,0.0627070891266106,-0.0604335749468863,0.574376222126171,2.461922668052272,0.4129824898040462,0.0,0.9500000000000004,-0.0605149746001556,-0.3576328307901069,-0.0739647011502365,-0.0446485705734186,0.9700000000000004,,False,,-0.6966080807566546
sw_009,window_median,0.05,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0389517192624653,0.1371290048473518,0.064884644319539,0.8667776258507391,4.468827471699051,0.5347641670673029,0.0,0.9375000000000004,0.0149774931282504,0.1067908775828568,0.0043485376430544,-0.0707968820198481,0.8100000000000003,,False,,1.2278071800625925
sw_010,window_median,0.025,train_window_zscore,8,12,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0123368270272995,0.0291427512167128,0.0558584835465921,0.5733988658446623,6.344927813347791,0.4396666192163142,0.0,0.9500000000000004,-0.0051875194654527,-0.0321003313198708,-0.0195906494771371,-0.0590757256391251,0.8300000000000004,,False,,-1.0138755747496375
