quarter_idx,split,stock_id,stock_name,future_return_1q,stagewise_pred,stagewise_rank,stagewise_rank_pct,selected_feature_count,selected_features,promethee_phi_plus,promethee_phi_minus,promethee_net_flow,promethee_rank,preference_function,pure_stagewise_score,pure_promethee_score,hybrid_score_70_30,hybrid_score_50_50,hybrid_score_30_70
13,train,000049.SZ,德赛电池,-24.7578336003339,-6.290840692620451,1305.0,0.0842696629213483,12,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr;composite_总市值_证监会算法_x_ntis;composite_流通市值_x_bm;composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis;composite_市销率PS_TTM_x_infl;composite_总资产周转率_TTM_x_infl;composite_市销率PS_TTM_x_m2gr;composite_总资产周转率_TTM_x_ntis,0.1006655127785612,0.1747055349267072,-0.074040022148146,899.0,linear,0.08426966292134831,0.3693820224719101,0.23595505617977527,0.1485252808988764,0.10182584269662921
13,train,000050.SZ,深天马A,-12.7429428734488,-6.296845040684306,1306.0,0.083567415730337,12,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr;composite_总市值_证监会算法_x_ntis;composite_流通市值_x_bm;composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis;composite_市销率PS_TTM_x_infl;composite_总资产周转率_TTM_x_infl;composite_市销率PS_TTM_x_m2gr;composite_总资产周转率_TTM_x_ntis,0.1458611212561878,0.1470862131768547,-0.0012250919206668,451.0,linear,0.08356741573033707,0.6839887640449438,0.4922752808988764,0.3304073033707865,0.2029494382022472
13,train,000055.SZ,方大集团,-25.2554744525548,-3.580251010631839,1127.0,0.2092696629213483,12,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr;composite_总市值_证监会算法_x_ntis;composite_流通市值_x_bm;composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis;composite_市销率PS_TTM_x_infl;composite_总资产周转率_TTM_x_infl;composite_市销率PS_TTM_x_m2gr;composite_总资产周转率_TTM_x_ntis,0.0173396410014027,0.1993840200820315,-0.1820443790806288,1424.0,linear,0.20926966292134833,0.0007022471910112359,0.020365168539325844,0.03651685393258427,0.0800561797752809
13,train,000059.SZ,华锦股份,-5.31460785608137,-7.684886386948661,1364.0,0.0428370786516853,12,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr;composite_总市值_证监会算法_x_ntis;composite_流通市值_x_bm;composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis;composite_市销率PS_TTM_x_infl;composite_总资产周转率_TTM_x_infl;composite_市销率PS_TTM_x_m2gr;composite_总资产周转率_TTM_x_ntis,0.0671834548745086,0.1626877933926231,-0.0955043385181145,1149.0,linear,0.042837078651685394,0.19382022471910113,0.08848314606741572,0.051615168539325844,0.028792134831460675
13,train,000060.SZ,中金岭南,-5.51004109469272,-7.30152279785789,1349.0,0.0533707865168539,12,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr;composite_总市值_证监会算法_x_ntis;composite_流通市值_x_bm;composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis;composite_市销率PS_TTM_x_infl;composite_总资产周转率_TTM_x_infl;composite_市销率PS_TTM_x_m2gr;composite_总资产周转率_TTM_x_ntis,0.0835791477208979,0.1406636815525618,-0.0570845338316639,762.0,linear,0.05337078651685393,0.46558988764044945,0.3012640449438202,0.18890449438202248,0.10814606741573034
13,train,000063.SZ,中兴通讯,11.4041095890411,2.168585197342807,503.0,0.6474719101123596,12,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr;composite_总市值_证监会算法_x_ntis;composite_流通市值_x_bm;composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis;composite_市销率PS_TTM_x_infl;composite_总资产周转率_TTM_x_infl;composite_市销率PS_TTM_x_m2gr;composite_总资产周转率_TTM_x_ntis,0.3184564804653856,0.0968906851428103,0.2215657953225753,116.0,linear,0.6474719101123596,0.9192415730337079,0.9080056179775281,0.8693820224719101,0.7900280898876404
13,train,000066.SZ,中国长城,-2.74361400189216,-1.4599523212329244,930.0,0.3476123595505618,12,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr;composite_总市值_证监会算法_x_ntis;composite_流通市值_x_bm;composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis;composite_市销率PS_TTM_x_infl;composite_总资产周转率_TTM_x_infl;composite_市销率PS_TTM_x_m2gr;composite_总资产周转率_TTM_x_ntis,0.2040628429201401,0.0951774260385893,0.1088854168815507,232.0,linear,0.3476123595505618,0.8377808988764045,0.7514044943820225,0.6393960674157303,0.5035112359550562
13,train,000070.SZ,ST特信,1.18458251427984,-2.681699536145816,1055.0,0.2598314606741573,12,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr;composite_总市值_证监会算法_x_ntis;composite_流通市值_x_bm;composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis;composite_市销率PS_TTM_x_infl;composite_总资产周转率_TTM_x_infl;composite_市销率PS_TTM_x_m2gr;composite_总资产周转率_TTM_x_ntis,0.0624021983396184,0.1196227654581375,-0.057220567118519,763.0,linear,0.2598314606741573,0.4648876404494382,0.3693820224719101,0.2952949438202247,0.2752808988764045
13,train,000100.SZ,TCL科技,-15.855421767502,-9.95763225215449,1407.0,0.0126404494382022,12,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr;composite_总市值_证监会算法_x_ntis;composite_流通市值_x_bm;composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis;composite_市销率PS_TTM_x_infl;composite_总资产周转率_TTM_x_infl;composite_市销率PS_TTM_x_m2gr;composite_总资产周转率_TTM_x_ntis,0.2188115236306451,0.146169701842357,0.0726418217882881,301.0,linear,0.012640449438202247,0.7893258426966292,0.5617977528089888,0.35252808988764045,0.1776685393258427
13,train,000153.SZ,丰原药业,-8.62573099415205,1.5924916053948006,560.0,0.6074438202247191,12,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr;composite_总市值_证监会算法_x_ntis;composite_流通市值_x_bm;composite_经营活动产生的现金流量净额_营业收入_TTM_x_ntis;composite_市销率PS_TTM_x_infl;composite_总资产周转率_TTM_x_infl;composite_市销率PS_TTM_x_m2gr;composite_总资产周转率_TTM_x_ntis,0.0827808005325543,0.138544923182269,-0.0557641226497147,749.0,linear,0.6074438202247191,0.4747191011235955,0.5098314606741573,0.5702247191011236,0.6004213483146067
