split,strategy,score_col,topk,average_period_return,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,alpha,beta,max_drawdown,win_rate,average_turnover,average_holding_count
all,pure_stagewise_score_top20,pure_stagewise_score,20,5.193952844617949,1.3000824558730417,0.20333742363795437,0.20531004465201444,0.9903919897470018,0.08337909721774629,1.0068318065975046,-0.07079688201984813,0.6666666666666666,0.8250000000000004,20.0
test,pure_stagewise_score_top20,pure_stagewise_score,20,0.5678948249780736,0.0187567868480909,0.014977493128250474,0.14025067933943844,0.1067908775828568,0.004348537643054477,0.8633441060567234,-0.07079688201984813,0.6,0.8100000000000003,20.0
train,pure_stagewise_score_top20,pure_stagewise_score,20,2.4320675151293103,0.20942879204618547,0.0881840526916029,0.16752045718338637,0.5264076649162133,-0.059953256151124595,1.0438254004023797,-0.052813535414548696,0.5555555555555556,0.7833333333333337,20.0
valid,pure_stagewise_score_top20,pure_stagewise_score,20,17.190767360517228,0.8667776258507391,0.8667776258507391,0.19396086139821142,4.468827471699051,0.5347641670673029,0.8029241548523585,0.0,1.0,0.9375000000000004,20.0
